Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-2.568338561411895,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c5,2.151439816522913,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c14,1.3788118761968644,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
bridges_ratio,-0.7815667022409514,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c13,-0.7408668939797216,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c16,-0.6897989217988578,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c15,0.5683448684331969,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c10,-0.35067312525584227,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
centralization_degree,-0.3399854647333079,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c11,-0.32165654141085787,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
rosval_mean,0.3177104582033024,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
orientation_entropy,0.24750521632471265,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c7,-0.12451446895842538,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
moran_i_degree,-0.04294193603757629,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
getis_gi_degree_mean,-0.028128864729005706,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c1,-0.0055968557683341875,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
c12,5.26250580214801e-4,All_Features,final_alive,0.044222937814920794,0.8998739811743962,1.7543593636044397,Concentration
