Map,degree_sd,centralization_degree,bridges_ratio,assortativity,moran_i_degree,getis_gi_degree_mean,rosval_mean,orientation_entropy,d_value,c1,c2,c5,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
america03,1.439344198782786,0.02891840156394188,0.1739832672761358,0.44687125126848404,-0.9880387596022207,-0.9527031429632481,-0.9214478680796357,-0.904535975515409,-0.37499387900121434,-0.6859984061535966,-0.7609273991123,-0.5518823748838003,0.768117968277894,0.32780831662203336,0.3551151555090557,0.7776441284835278,1.442497479126377,1.1432860273449976,-1.1544574333758966,-0.38359387940267514,-0.5198693721780987,-0.18830164098930285
america04,1.2635586570599693,-0.5957859987339966,0.07580816935993367,0.473873133617529,0.549730356649436,-0.07237242880522951,-0.31262123172166933,-1.9122126456611825,1.1121905333497288,1.8884879909240344,1.4513145137957424,-0.5409565761507421,0.11312032385206088,0.8034608397096511,0.006032520288524453,1.9029104054579353,1.6977528468567065,1.1503100161578377,-1.1568467944406546,-0.3106576409913295,1.039530063583522,1.0315601122554903
america20,0.9224302790632165,-0.5324448310623554,0.2193122750332277,-0.08693111263529887,-1.3749041013241654,-0.5466210608813579,-0.1925836954545348,-2.4168511891861044,1.3986741053227763,-0.3283375952089028,-0.4760470433108934,-0.5316165775914254,1.1737880536748562,0.9101446863840797,-0.12669236664539618,1.6941816157025376,2.6699155953660965,1.1198957151393891,-1.1298185002725631,0.3232242625961875,2.119733715661511,2.040267615480323
america35,0.9085066717980426,0.23055160647016357,1.1310758983485634,-0.5322660950088333,-1.430415070200764,0.24963222225706952,-0.4410272478420997,-0.6113824444968671,0.9539032879812932,0.4831904353321268,0.7477045401503944,-0.054786787697519226,0.8195892306509891,-0.4397486757780763,-0.8372967445477846,0.2811557401843565,1.3120386185190114,0.0349962660714959,-0.6608140105266982,-0.7604516451638185,-0.293938608573318,0.4334765975194506
america52,0.7675301482381598,-0.6567369336633118,-0.6281110228033032,1.2988450876870035,0.059220892846071904,-2.742456459714204,0.3716790708001809,0.045749366399216895,1.2127220095301503,0.7266452838814446,0.4447919587804749,-0.2971351855679662,0.7067976029205731,0.27026433910043124,0.181377831844473,1.1412531892280546,1.037960810630678,0.9712058494056393,-1.050621382321014,1.1041486543600287,0.6760543687049929,0.29396709977918783
argentina10,0.626553624678277,-0.6982245448336859,-0.5538199134019942,0.5488790082118581,0.2379821742491637,-1.8984972969665381,0.6583532179877901,-3.237307435398606,0.9107576211166488,0.05707774346666821,-0.045782192086996486,-0.8928180320772211,0.6664819812344575,0.19016426971737355,0.25871366412662167,0.6924533244392694,0.7394456705349394,0.9195659974818912,-0.8723875837009157,1.7123942618252486,2.1867013931194967,1.1406510464213007
argeria01,-0.9407224181078282,-0.24544617107305924,-0.5772772139879708,0.15228769429961975,0.3345854482015065,0.6142978394327628,0.5885959374869003,0.9343524985406841,-0.41012830036579545,1.6062337379798715,1.4923115115514145,1.2926488675806165,-1.3160917765146591,-1.4964935421902783,-1.183524232737916,-1.505231710951761,-1.4632818718215836,-1.5927361953807513,0.41225961629616953,0.17506762267070355,-0.16733943463164588,-1.0108680793346143
argeria07,-0.23235889849212035,0.26794167579655026,0.09734800814189166,-0.8157660134411655,0.476723678253104,2.618399761956727,-1.0437146760025193,0.3748303666579202,-1.6377082175416955,-1.2459489293940387,-1.205586999375382,-0.12148288216951782,-1.2519731220126677,-0.9676814976538801,-0.5812435902002615,-0.9175274097942376,-1.1393906644964806,-0.18797260606255878,0.7019021236855645,-1.224947785520498,-1.5539935792881192,-1.051505501443346
austria08,1.2922760970443905,1.998982373971133,1.5068035923964804,-2.0813111888276326,-1.291274077765826,0.7067789990342901,-0.5993119418023539,0.8281988615670597,-0.10492709495452698,-1.2239184035270287,-1.194776121858166,-0.2896664575241497,0.22592272703383867,-1.242858922491029,-0.6842897287801455,-1.5928393083284245,-1.2330485770980957,1.1604170918950851,-1.1235947362043508,-1.3520761444922205,-1.052962651577805,-0.5682314730286698
austria13,0.8562931445536415,0.6551593800533756,0.4207037097294941,-0.40952113944587015,-1.1177889986760854,-0.49399070337697254,-1.2191664961282067,0.19239544130197103,0.45819132754527175,-0.4668532516926358,-0.5832598701453903,0.329441816541573,2.086604509543834,2.6126200661717363,-0.1677170977964536,1.1923756468944762,0.800177148868898,0.5422130123159866,-0.4279248344624689,-0.9148502392303676,-0.11178146852645282,0.029689191372167474
