Map,degree_sd,centralization_degree,bridges_ratio,assortativity,moran_i_degree,getis_gi_degree_mean,rosval_mean,orientation_entropy,d_value
america03,1.439344198782786,0.02891840156394188,0.1739832672761358,0.44687125126848404,-0.9880387596022207,-0.9527031429632481,-0.9214478680796357,-0.904535975515409,-0.37499387900121434
america04,1.2635586570599693,-0.5957859987339966,0.07580816935993367,0.473873133617529,0.549730356649436,-0.07237242880522951,-0.31262123172166933,-1.9122126456611825,1.1121905333497288
america20,0.9224302790632165,-0.5324448310623554,0.2193122750332277,-0.08693111263529887,-1.3749041013241654,-0.5466210608813579,-0.1925836954545348,-2.4168511891861044,1.3986741053227763
america35,0.9085066717980426,0.23055160647016357,1.1310758983485634,-0.5322660950088333,-1.430415070200764,0.24963222225706952,-0.4410272478420997,-0.6113824444968671,0.9539032879812932
america52,0.7675301482381598,-0.6567369336633118,-0.6281110228033032,1.2988450876870035,0.059220892846071904,-2.742456459714204,0.3716790708001809,0.045749366399216895,1.2127220095301503
argentina10,0.626553624678277,-0.6982245448336859,-0.5538199134019942,0.5488790082118581,0.2379821742491637,-1.8984972969665381,0.6583532179877901,-3.237307435398606,0.9107576211166488
argeria01,-0.9407224181078282,-0.24544617107305924,-0.5772772139879708,0.15228769429961975,0.3345854482015065,0.6142978394327628,0.5885959374869003,0.9343524985406841,-0.41012830036579545
argeria07,-0.23235889849212035,0.26794167579655026,0.09734800814189166,-0.8157660134411655,0.476723678253104,2.618399761956727,-1.0437146760025193,0.3748303666579202,-1.6377082175416955
austria08,1.2922760970443905,1.998982373971133,1.5068035923964804,-2.0813111888276326,-1.291274077765826,0.7067789990342901,-0.5993119418023539,0.8281988615670597,-0.10492709495452698
austria13,0.8562931445536415,0.6551593800533756,0.4207037097294941,-0.40952113944587015,-1.1177889986760854,-0.49399070337697254,-1.2191664961282067,0.19239544130197103,0.45819132754527175
austria20,-0.8719746072360333,0.22167359914152385,-0.8798516331116888,0.5482196716558403,0.19383942615528046,0.4068943532999213,-1.0868506997196874,0.4610575530050965,0.6443092607822949
austria22,-0.6283114800954949,-0.37554312461966455,-1.017782456948027,0.8198919053412352,0.44237072403138794,0.20749314374669345,-0.5776683031489721,0.5691392512883481,1.561164608925838
austria32,0.8180032245744143,0.7015981876185683,-0.016056161410074692,-0.08251621382040752,-0.21968182170772746,0.02092501653435203,-1.2232136234258566,0.23230820066742236,0.20482329631328053
austria37,-0.038298622233763235,0.09618638016940455,0.9637457494346741,-1.044573754580311,-0.9118663598178782,0.9791240374093851,-0.005101121061347105,0.5770468229993972,-0.8882013109999176
belgium04,-0.964218505367809,-0.266958265753994,-0.9823884298568125,0.8671345808281445,0.12534633931776462,-0.39606317827728005,-0.6894347056230565,0.7020935705511744,1.7401418746676747
belize01,0.3245853921148247,-0.9053211388652245,-0.43665983652512286,0.7645103774082769,-0.17551247091310473,-1.249175446677882,1.391122952050856,0.6261304752934785,1.3112481700241694
belize04,-1.327102519716396,-0.6389809190060323,-0.7790689978521095,0.6219874430402115,0.22528381842946876,-0.4763803422084572,0.0707867736831348,-1.0742242733243836,-0.33544622719040895
bolivia01,-1.3941098796800442,-0.5833226422918677,-1.1132288592200483,1.7852237209785673,1.8150612146270122,-0.07876889737555642,0.4948177744151571,0.031868585140698354,0.10568150668196434
bulgaria05,0.4594703374961927,0.38779477473318663,0.1703274472431991,-0.1791155195272222,-0.8460158079204946,-0.5397696133750662,-1.2422750132965283,0.7812574996170063,0.20368581847886086
bulgaria06,0.9572392972261506,4.99684642557854,2.168164614464477,-1.9576552180712021,-1.6572474318402841,0.4794367301194665,-1.6698121909882033,-0.13262150815702833,-0.30296331326928494
burundi03,0.2610589339674693,-0.6546881627413179,-0.07461249496357061,0.21412175543895973,0.3395778883736352,-0.036696727532234054,0.7030552163691423,0.23223889127393918,0.429943901759794
canada33,1.1191012316837934,0.7273785550536568,0.8121609118730154,-1.5745006409567357,-1.8387842616872059,-1.180259519612643,0.0691415783888625,0.79286682302546,0.8065419379194836
canada34,0.24800555215636857,-0.5855421441240276,-0.13402220437489903,-0.10881497655076622,-0.7098809206691298,-1.049988344859226,-0.8591902968141152,-0.39830016551339537,0.2698373425157463
chile01,0.49863048292949497,-0.5486642675281395,-0.7047778884508004,1.0455106737101496,0.08467967745385384,-1.1109019953448505,-0.26642747918755605,-0.7105295318747267,0.5343980015961824
chile03,0.6152406937753228,-0.40559176480890674,-0.20216057919627967,0.6105244344992867,-0.3356607293654007,-1.811783664465034,0.12769937435019588,0.10888077258157292,0.9896426579199874
chile21,0.42988267205770014,2.246712924622215,1.4397609100345392,-1.242984035697527,-1.1051261131240433,1.173627532534287,-1.5153018053509761,0.311078326361191,-2.3512255314189194
chile23,-0.2497634075735874,-0.3492505644540777,-0.28526990579519157,0.2040176879240488,-0.1379317223349856,-0.2015329196855565,0.8624239985573067,0.7484458026566185,-0.15384411657649735
chile39,-0.13489364763590614,-0.1733977269829445,-0.7260912138877781,0.5513782711630132,0.7727496645162825,0.10808024623841016,-0.6725725866961474,-0.4092573505377092,-0.9337599464966413
chile47,-1.1286911161876716,-1.0306376269271775,-0.9269295346021161,0.28434437453029304,-0.19121693191637248,-1.3944876897849554,0.319533145757308,0.1566160421297068,-1.1520978063260454
china10,1.193940620734101,0.04018664163490771,-0.19966893240149705,0.651287731222165,1.5258455197531675,-0.6029180133402819,-0.87784995840085,-2.3315502283700225,-0.49027142759982806
china19,0.046983472265425416,0.7470126097227637,-0.7028604266467816,1.4994056777900475,0.47804494572317013,-1.2973363052230849,-1.683500953354054,0.4206092210536385,-1.1239411488789588
china41,-0.5056096910711524,1.643179157184879,-0.37282521525836665,0.5591426218455838,0.5830812758099612,0.6481803884287212,-1.3040374165605721,-2.7148941828721944,-0.10018113051785982
congo10,-0.02176433860636946,-0.679956337445908,-0.17071209850948868,-0.16727730511581254,-0.5858325271204492,-0.5380567514984932,1.6546452997929553,0.9991473301666396,0.24360671743604773
croatia07,-0.317640992991309,-0.6835416865593972,0.32979810986149516,-0.3688676805572891,0.6723688070589184,1.0700395342018574,0.4896562456701951,0.21437912074408325,0.20946840040012146
cuba02,-0.5169226219741067,-0.6893465375050462,-1.0462757286456572,1.257509759233979,0.9305923555711477,-0.8059991995814593,0.10506758724577613,-1.140742388506491,1.5913748075785805
ecuador01,-0.7092424473243172,-0.6569076645734778,-0.6997577205957732,0.006650375627704483,0.3518062631469306,-0.3775696227036566,0.32044769871175577,0.4920167989032955,-1.0253284035502928
ejypt04,-0.05222222949893725,-0.5747860967835603,-0.14446815700503396,-0.7330311147227045,0.316202981990454,0.5989356094772497,-0.5189711288798705,0.494997102823077,-0.2314860957594811
eritrea02,-1.0799584907595645,-0.6301029116773925,-0.9075968839956633,0.7394133152552022,0.9554215429280929,-0.052125866154801116,0.5164529753682925,0.4855899278712077,-0.9970938018746914
germany08,0.11660150859129353,0.10779608206070274,-0.5981901902570765,0.7364972464452362,1.2219096638034195,1.4593676860535187,-0.5365595150427735,0.406507909906764,0.332216264172337
germany17,-0.3237325711698218,-0.46107931061290525,-0.21496121706376747,0.003914915229782809,-0.5070353275298013,-1.7004877876880258,-0.37111996378128065,0.6807998346169185,1.0920279392138146
greece06,-1.1313017925498923,-0.6997611230251812,-1.0963404456384986,0.9769144627121008,0.7072360801616001,-1.0403534968035033,0.9954648121721539,0.9523981442621537,1.5644119773641687
greece22,-0.6196092255547613,-0.33303112798829365,-0.8358079568935547,0.8836889180637985,0.30444458826355764,0.720401603646409,0.7577969842673432,0.5730835858629432,1.0684442505307628
hukuoka01,-2.5985019081175613,-0.6610052064174654,-1.3433453467111345,0.6772526903345661,0.2923226242932207,-0.7142807987843436,0.7726078045122111,-0.47540686576356456,0.2617756095244903
hungary01,-0.47602202563265883,-0.22103165091929997,-0.9118163535149465,1.5919728248636609,0.9661335637592322,0.553009500411638,-0.7409482719085996,-0.04540193731225006,0.6540612158047466
ibaragi,0.32284494120667623,-0.5582251984974439,-0.4342735447745171,0.567630177068672,-0.16907461733412535,-0.4956634200533133,0.054863895796578875,0.7338750778902422,0.5074463200935926
iceland06,0.2584482576052496,2.9924655402279523,0.6132558562193225,0.3604700437947233,2.887061378763118,1.492367040644369,-1.8144843743922379,0.12095005832859618,-1.7561691415007137
iceland07,-0.15316838217144643,0.44925790239300034,2.6101395602908,-1.5051650438812498,-1.5520514855490555,-0.10803474834481423,-0.7506181888979959,-0.38011590100495796,-0.7472351877273992
india06,0.6213322719538374,-0.32807993159347526,0.08945164758083655,-0.319366938632029,-0.7074512073349144,-0.243752288596397,-0.4671791184862074,-2.3176851992463856,-1.4617326549972116
india10,-0.01828343679007644,-0.3227872733783247,-0.4722013606781848,-0.09169149043374858,0.7755695507946783,-0.28959810726154417,-0.09386994649997367,0.6227280141588439,0.908206734273579
india13,-0.7336087600383703,-0.8259312656379653,-0.7880241766071422,0.8813716095559445,1.2741396329221364,0.5714495290516186,1.0134096130435981,-0.8590186065587401,0.17606265310843364
indonesia43,-0.3011067093639152,-0.06208117355461537,1.4183949070754729,-1.436078106363896,-1.4576296330573584,1.100242106509866,-0.6591002357162374,0.7026984525306642,-1.2559129788137138
indonesia63,0.47426417021544,-0.5459325729654811,1.0456013510078814,-0.3883403848695396,-0.7017316266759038,2.116464323453807,2.4018061566405025,0.7408973796208919,-0.8014625160826003
indonesia79,0.1070290285964858,0.7372809478432932,0.45539712577693253,-1.0697074470890602,-1.706107725531987,-0.30785079163377443,-0.9446687316641966,0.919180042221795,-2.303029694989602
indonesia80,-0.3063280620883548,-0.8436872802952446,0.3620525566362392,-0.4494152753987769,-0.7038066373335913,-0.4613660373216227,0.4944941729853499,0.09428799482636212,-1.074451465820972
ishikawa,-1.7334978067686504,-0.7648095997984838,-1.0654977564557244,0.7068931684080276,0.10637861369044128,-0.8157143380376464,1.3670737875588068,0.7203061889023987,0.9759536628124222
italy16,0.20449427945270196,0.6799153620274674,-0.2695878074694667,0.40199781146718533,0.5932967128939616,1.0756330987675409,-1.2404216880628531,0.41115794012409745,-0.732704126513727
italy36,-0.13054252036553793,2.2847859175892657,1.4462086387381623,-1.0260576379501392,-1.0548647438600558,0.7938405566044734,-1.6387856734074995,0.42721566642338754,-1.1247798273180523
italy54,0.4420658284147257,0.38181919287737137,1.5981200769367692,-1.6728074509187398,-0.4345341004475215,1.222818784552116,-0.319519364180236,0.7341176607674341,-0.9664525381848248
mongolia05,-0.8145397272671927,0.48664797171938673,-0.6150048553077025,0.22606170904759718,-0.06645913301463643,0.8519038978736131,-1.203970510492477,0.6647074536208875,-1.712357650133072
myanmar03,2.197310569280674,0.45233105877599084,2.4846195606584955,-2.3654518609150648,-1.4638724001642476,0.3956269337680899,1.6917775872776386,0.8946004109510364,-0.3610464757627532
myanmar11,1.3236042133910315,0.5474281757385357,2.104588113055954,-2.2183492825750983,-1.1296360680721134,0.9205120450704054,0.722403800555597,0.8493980846920195,-1.3598103851388308
myanmar12,1.882288954906121,0.05623534719052576,1.0997959857324553,-1.1675610216365195,-1.2070321920904767,-0.6479475462673748,0.1206934268329292,0.10008163003617035,-0.6848319251629366
myanmar13,2.0154334493793447,0.5808914341311009,1.6558599088978945,-1.820692411160532,-1.183222774928549,0.5446860622301666,0.0809259205584367,0.8550278976990485,-1.1851217773514187
myanmar14,0.7562172173352055,-0.517249780057568,0.1575742191455908,-0.8987620420417586,-0.008154880560381394,-0.3488658045376495,0.2841579312220124,-0.0375731262756136,0.18238923736256024
myanmar15,1.6012061332404288,-0.5532740021026256,0.3391378345277732,0.07406744831483633,0.3138974145930233,-0.6900464795775189,0.5381761471591789,-0.4796504909009283,0.262083061390024
nara01,0.06786888316318547,-0.8197849528719838,-0.24153175920517034,0.15661576201121555,-0.9104209464110276,-1.6592720487829902,0.9388915945594345,-1.6218125878201137,0.9569201567045837
netherlands04,1.045132068087559,0.426038498610404,0.1417024817403474,-1.457260774419624,-0.8650012686816444,-1.4264031239695367,-0.02975451864323875,-0.5634234946334017,0.23630295367535117
new-zealand02,0.5934850574234894,-0.45851834696041294,1.208401233022166,-1.3804462725990636,-1.9899585424233486,-0.4864835509335554,0.9144952343276309,0.9228912452001276,0.7082068804908088
new-zealand20,-0.42293827293418446,-0.16247094873231085,-0.7812603827709881,0.8090323037895912,0.6736191339936789,1.3426120620449347,-0.12577851626380687,0.6272488768701405,0.6774707632751947
okayama,-1.555971814137687,-0.6662978646326161,-1.2076111755458838,0.7749565723664423,0.5634573502310614,-0.08831007329740412,1.8698838453992508,-2.8526434519932744,0.638527477518069
peru13,-0.22626732031360758,-0.724687835909439,-0.8376990799365291,1.1500642577610714,2.2725035214110734,-0.32594289520507586,0.4590597382946233,-1.2100234281470006,0.12533408944999577
peru17,-0.7806009345583319,-0.7344194977889095,-0.7083336211917693,0.6850303309990721,0.8850219292042403,0.5482589850508303,0.8490330557594001,0.660857631855587,-1.0810183154547641
peru19,-1.545529108688807,-0.7841021926472587,-1.1376817649734965,1.4797303204650172,1.1684382353168559,-0.6865538471573194,1.321950216672568,-0.12519595177338602,0.4690535665662369
peru24,-1.4941858068984792,-0.9155649934751933,-0.9134967664695672,0.49074819501319894,1.386536043546879,0.8915941191698263,1.2662206128307465,-0.6019059601515145,-0.8266965900453712
philippines20,1.605557260510797,-0.43973794684213663,0.5464976324766587,0.2613601976374751,-0.3149904308907439,-0.8876946820539413,-0.658320842219435,-0.54497144383196094,-1.0427610438572021
philippines22,1.7517551367951194,-0.26934849849632014,1.684890491320827,-2.3906207846534393,-2.1802299256797673,1.159750674987364,3.033427240213188,0.7304222099239834,0.0882608481701903
philippines25,0.027838512275811873,-0.6820051083679017,0.3278490415442232,-0.09473112650213429,0.06087912785883925,0.6182855959891591,0.37852470201277205,0.8387149868146615,-1.4556679354480784
philippines30,2.3913708455390315,2.0285188214298766,2.2003189739472533,-1.8850443227678466,-0.7597875872565893,0.9656084866645518,1.023254221678829,0.21642374785184093,-1.8139941353528553
philippines34,0.4029056829814254,-0.02144721693507204,2.223765739028812,-1.8668784944004342,-1.5075008293771655,0.5334186426983352,0.9393405114632658,0.26299020899168724,-1.2552655363221839
romania06,-0.4003124111282769,-0.3560798008607237,-0.6793030387688369,0.6430047103664381,0.3280323162526557,0.19202385992389417,-0.8341061077585495,0.45984463861913855,-1.1853909173945343
russia08,0.505592286562081,2.3385661542916023,1.0885756735276204,-1.304475547358216,-0.03363140030198974,0.0016151752226744572,-1.8367595905344078,-1.7568587905953448,-0.3576771713204484
sapporo,-0.3019769348179885,-0.6954928502710274,-1.0312942413637085,1.0061606131620031,2.3385491597805474,-0.8539459503920905,0.2685772489565458,-2.6071117751517114,1.4754066836898225
serbia02,-0.36898429478163686,-0.35027494991507463,-0.8182663420381083,0.5281645534476933,0.38787952534980646,0.7347602035961182,-0.40151084127678144,0.6911111821110477,1.4309337160276345
serbia04,0.5308288247302073,0.18018598797114965,0.5572701857437422,-0.3573160248524998,-0.5474803002208822,-0.800887377418562,-0.47953691176509733,0.1606706416484799,-0.3565036188983386
singapore20,0.23843307216156276,-0.17169041788128295,0.30443915072812605,0.3970197500520131,0.7216281412617149,1.9827005162801898,1.46536080763611,0.7693331335109033,0.5975627770377738
slovenia06,-0.051352004044863994,-0.615761515223436,1.4554430083602636,-0.9252672905272223,-0.8209915340914592,-0.4641494378710537,1.0935832344982437,0.9764012473962108,-0.06565457266026743
slovenia10,0.491668679296907,-0.40610395753940526,0.8942957043132915,0.04193360328234936,-0.4588578364904145,0.5468672847761149,0.10583791802749903,0.7588201586902771,0.2126458673364544
spain07,-1.428048672388905,-0.23110477461910275,-1.2389384979318714,0.9063668447173374,0.7949983899014879,-0.7971003468633265,-0.20796499798826118,-1.8765561131410013,2.1834458294115913
tokyo03,-1.2766294433801413,-0.8045899018671966,-0.8473706729919644,0.8621545303567213,0.5901841969074301,-0.21593166483549775,1.4281233614057676,0.928391890701121,0.3898088582801231
tokyo12,-0.5360675819637202,-0.7496145487936966,-0.6228169318334164,0.8774234333382653,0.47836417813204524,-0.8502525919707301,0.2392920227006944,0.7865187126677848,1.2787095483930826
tokyo21,-1.4132548396696578,-0.8814188114419635,-0.9610751044198349,0.7905965177681146,0.535426971218453,-0.6892569573062859,2.0307076621187354,0.9693915473734677,1.3811434211939022
turkey13,-1.9127642503077613,-0.7366389996210694,-0.9562393078921172,0.3217361666863774,0.8755957055755145,0.6910956074769191,0.5019120052775906,0.7840078223675037,0.4853461365102897
turkey18,-0.3011067093639152,0.025503783360618894,-0.8095429443802646,1.0945605693121514,1.7638510157033132,0.4119660302625863,-0.925867504217778,0.014286052184776589,0.7883351429270578
turkey33,-2.9170044243084075,-0.6342004535213801,-1.27372146576686,0.31292989763538753,-0.1880246078276224,-0.25947582535399993,-0.2429056709608851,0.64428008510517365,-0.16613389431244707
ukraine01,0.24191397397785577,0.969816447489588,-0.0735220702563401,0.48312075728082876,-0.02388594426438875,0.5295245582758138,-1.5021174299553897,0.3217456721036656,0.9948075277906817
ukraine11,0.978994933577984,3.060757904294412,1.3976188923637973,-1.2217427111994021,-0.1608809855063335,3.2665038745050072,-1.275905342671682,0.2344410397305222,-0.5311302672237928
ukraine12,0.6282940755864235,0.8706217886830555,-0.2192702383706009,0.11761042288231029,0.09608336850422217,0.11703262589018587,-1.581846978371159,0.020851542003830808,1.2523688252253296
venezuela01,-0.9624780544596624,0.004162419589850274,-1.242973596123845,1.2696467206822577,0.9530893728299228,0.5140954196532469,0.020423078436679405,-1.418840029004274,-0.5546047986857907
venezuela02,-0.41858714566381816,0.18257622071347576,-0.8898656300606987,0.8510109502090009,1.6649953797550188,1.0959064248847905,-0.4187782823229176,0.7280121332869508,-1.104764204788503
yamanashi,-0.1053059821974116,-0.6632247082496253,-0.601119060485193,0.3476201929991306,0.27944691713526193,-1.5817115219344224,0.03745035753321908,0.24363398564798802,0.6899819164134113
