Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-1.7427691203738807,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c14,1.287639151761918,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c10,-0.8864656171996054,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c5,0.8068433934813861,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c7,-0.6293025213022617,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c11,-0.4682905328100237,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c13,-0.3441990731325694,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
c9,0.3220158979933222,Old_Features,final_alive,0.09308504508912413,0.8084943226061281,2.158617356184013,Concentration
