"centralization_degree","bridges_ratio","moran_i_degree","rosval_mean","orientation_entropy","d_value","c2","c5","c10","c11","c13","c14","c15","c16"
0.000292010761917222,-0.0013175043279417,0.00206386878075371,-0.0137753346113986,-0.00708344998759624,0.0198875605382893,-0.00157624929656493,-0.0253239987254187,-0.00640279992095617,-0.0125297988671561,0.0232464280746604,-0.0141005362787318,-0.0129936173939891,0.00075491706923356
0.00684911399980793,-0.00339024027376606,-0.00133513729238044,-0.00406120674143617,-0.0158517756912576,-0.0862985828944696,0.00355643978978211,-0.0413460012566544,-0.0175694322351007,-0.0136251895287256,0.0258096795371114,-0.00983686004727886,0.0240680471305215,-0.00565269091905501
0.00514691321647202,-0.00404360049325857,0.00289225744700027,-0.00259507782645385,-0.0192576451209142,-0.119390480793305,-0.00135829757845775,-0.0233331948680345,-0.0145378917843066,-0.02344884436891,0.0197620918654738,0.010103436313097,0.0489721249891569,-0.0123223166760386
-0.0025553337338495,-0.0225046374214587,0.00329277672329434,-0.00718909395958274,-0.00543562446975925,-0.0732461783448487,0.00203073197234749,-0.00495519493738749,-0.00238923513036672,-0.0107355088976733,0.0119451664627237,-0.0267954722066671,-0.00696774673720428,-0.00221900185634299
0.00661437502323324,0.0157006204458598,-5.35008302914708e-05,0.00211558453984599,-0.000694156969425806,-0.0922346502305626,0.000930590381342646,-0.0199638737880607,-0.009715859625403,-0.00989898113122125,0.0230578069750929,0.0359877386452723,0.0156663964691041,-0.0018146537420417
0.00558135086861557,0.0124368164558076,-0.000445885266556104,0.00568070102153001,-0.0277917589945769,-0.0667110526160451,4.52206680841338e-05,-0.0598480735307437,-0.0070362897319743,-0.00748296001511776,0.0202918691623691,0.0605612751898795,0.0488909546831007,-0.00651202499719538
0.00277822254303898,0.0100246925796443,-0.000514301522843026,0.00873739058611993,0.00787457468541187,0.0223869972039921,0.00355363544051931,0.0947650268334588,0.014050479818184,0.0129350551599046,-0.00867017718284178,0.00606927405940908,-0.00238240737839473,0.00581976537324445
-0.00368595406007246,-0.00188863796702328,-0.00106372655579615,-0.0140716933476445,0.00442736523615519,0.131701591700942,-0.00280356660687957,-0.00489453779655484,0.00811314540338833,0.00884607969215075,-0.0193583149741,-0.041295616846641,-0.0358093699841094,0.00534710276553674
-0.0197051534092598,-0.0318685996869683,0.00275129181897072,-0.00630498311545811,0.00783194598644609,0.0142289241027845,-0.00294671845860273,-0.0171995866092013,0.013266560687063,0.0117135467531057,0.0236468605225544,-0.0565301015993464,-0.0250198362179084,0.00278284651052957
-0.00706817134795081,-0.0056483723576945,0.00246410450030098,-0.0162626053094348,0.00120742343345517,-0.0387190893687321,-0.00123767328799519,0.0202906517795088,-0.0100144552082364,-0.00836636969609848,0.0112901702426748,-0.0366013975321694,0.00059360330902266,0.00129990396890292
