"bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","d_value","c1","c9","c11","c15","c16"
-1819545.90550108,-1144807.61567838,-1118989.7784604,243111.798663054,-7010547.6742117,-2062705.47067556,-406521.717325358,120643.551378179,406623.464740009,1358769.05651651
-2035124.24914232,-6646595.15235031,-79480.1853369221,928325.980432867,2700304.60699388,83979.7993254533,-198391.555913814,-404156.508530464,1844219.15816918,-1260284.23980874
-36071.2364990364,2269295.77649626,-1145549.24602046,-2709376.33647166,2532255.74289072,575798.806388779,-375309.966988535,588370.155203621,332075.103604145,16484399.6180929
4785233.24519697,5794372.35676074,797494.301726567,-3791523.74675938,-3302227.18660245,-2453058.89829052,70815.4065156076,516504.010497245,-3204248.87522401,-22869901.5424252
-159981.493446086,-2341454.6010302,-187623.047891718,1418058.02773453,6052334.60579394,-4783816.01716426,200816.654021105,-312306.100949889,3251623.8256326,39413454.9912307
1872950.81628345,6967715.31782501,-2429517.17587386,-449281.943210028,11390272.3121254,1688968.49535388,285679.363892326,128291.960540364,788265.944926021,11351077.1174723
-216805.357976251,2720758.01827008,-2017708.26735903,-1877404.61969837,4170583.84949311,2037275.3741612,-207353.834470218,578803.013473651,1176831.36698716,2469171.51813084
-1366996.89074291,-731735.062447339,-2072044.2304299,-721884.0188218,6555884.70869943,331091.569933807,-375202.664417079,75447.511715295,-1448236.90936128,-17161864.9911214
-543901.059005957,1634759.55704478,-3828423.2780104,371622.553882815,12405519.1201127,2636736.43768599,-102333.388649821,374730.968020223,2958299.78166932,12987602.0803934
3113244.20855063,3981143.47747151,2323013.48528843,-3229957.40999948,-30648022.1440335,4984444.19627256,258264.609109282,341193.615689117,-4991518.62805794,-21798025.7013825
-512769.528327009,324745.143149522,-87818.282974775,1923986.52294198,-2319305.2233116,-471396.980015689,42301.5259915274,-315053.462425312,-209391.95409525,-1882846.01917163
-1270966.80333142,-2867180.68136379,472739.908150991,-1726711.8630559,-12115727.07354,-2572022.52351747,258961.932821613,-366315.855745934,-3980453.77305727,-29584618.3491818
-1849120.73124077,118917.759195865,-2400260.60445908,631706.180220693,-14259884.0000407,-327137.740696471,286798.585361889,-619704.361735642,-848002.295404827,-27121598.3694369
-447279.654469964,-5348652.07332909,-1680728.68518106,-1862077.88128795,-5170844.84653104,103111.716550825,150810.186883559,-595675.199277025,-1760222.22824584,-28040534.4822797
-1842639.8053772,-1206422.89833296,-2641243.06400239,-4147447.89982395,-14853733.7952088,3406267.45909481,-423244.716048099,126698.410309492,-3323915.50541334,-29669189.8319527
-900927.802602049,-2183073.5170527,1224699.0828184,-2784994.02081701,-1739777.54341712,523592.026294309,-98363.0801450105,125341.807720902,-2351025.62535861,-24297405.4751275
-483480.240531021,1842559.61826841,-1173315.2679324,3866642.73345701,3750024.92625475,2753119.89931245,-167406.250737035,-117472.596073741,4179368.07088122,42313145.8134418
620384.057999694,-2642600.95189734,2022526.50950079,783602.592116008,2820579.12734243,-3249153.79729958,-400170.363620521,-191262.350213782,1245137.18696262,12113007.1778016
-2116040.79000423,-2661663.57171185,-1353726.33433855,456685.30158006,18911977.1959266,-395878.438849208,235228.708513643,-28205.5441405034,3069067.76966053,22181172.6753336
-1700629.87236703,-1068996.21911723,-766878.373339777,672838.238701015,-12030078.8591469,3519415.95146664,10403.3889149463,-638795.408015427,-1234332.98917378,-26251316.5765181
-72725.868020685,-281195.776071015,1413103.72318649,-1124363.3090172,-4134994.85704105,-4365299.00016717,-70388.2159902429,1113.31328029194,-1682937.63666343,-3565996.04344013
-2215350.18372416,-3719070.43447261,-15886.6178405124,1058630.02142986,-13368926.5388106,-2978050.0865942,61403.250834704,-435670.979999053,-340593.189190302,-15569309.9828769
-918626.595767611,-4178600.74019647,2398927.76341638,-900910.003144855,5884725.2298683,3080500.86313265,382974.85336823,-104525.428798977,-1595379.21971485,-17057616.5943155
-815787.797657689,2207963.12076766,-3305750.01151677,-810994.488833186,15543858.1635922,-3170925.27579861,363882.511944351,457426.818224275,2037329.53163576,30797909.6835393
-2592656.16715208,-2650414.6646479,-2335068.93036837,2218357.8937773,19328213.4349907,-3067526.86699226,211589.470623178,-140678.701924923,3772026.86701119,25131727.0937321
-1727106.0407064,-1333648.96317778,1557864.09979904,1961146.28135066,13487113.6664261,-5751238.22616678,108386.506759627,-176096.790398031,37246.3997085068,-7257163.36237244
-2713883.87794891,-1021766.18841147,-1466666.93718903,2019346.27659434,3782027.0220799,1437800.93594404,79864.5012123833,-410373.198964562,173509.422219233,-21643410.0853999
-1782614.97627849,-3838315.68501209,1169242.08385728,-1472080.32517092,8920134.30307564,1584732.10808489,175308.07191722,-32345.2621688328,-426465.763271548,-10894786.4311543
-910712.045415551,1084494.28220979,-874637.258202211,-392078.5677611,6831904.28928625,-1007296.64745824,185225.756941238,-304043.744702335,462254.782952742,10158167.0658371
