"centralization_degree","bridges_ratio","moran_i_degree","rosval_mean","orientation_entropy","d_value","c2","c5","c10","c11","c13","c14","c15","c16"
0.000235591949797042,-0.0013221251016819,0.00162815450375077,-0.0141007745546726,-0.00744911827115167,0.019676155571406,-0.00198303912114985,-0.025186543717647,-0.00728281717770276,-0.0107146005463889,0.0229246551165494,-0.0139336649506788,-0.0132624590217416,0.000674224643633544
0.00603805442046819,-0.00339470808488904,-0.00105462733822073,-0.00414693756588053,-0.0166796553319003,-0.0854873472835246,0.00448357735495182,-0.0408791036825211,-0.0200356966824893,-0.0116419070731598,0.0254763982433695,-0.00966737653519548,0.0246290247203695,-0.00508581427987857
0.00454505518343359,-0.00408688995363062,0.00228370753897212,-0.00266342914882927,-0.0202721111831649,-0.118690021671969,-0.00171261402766151,-0.0232234946732517,-0.016598045849132,-0.0200236252875933,0.0194903828107238,0.00993622390552365,0.0500438579468834,-0.0110824412515045
-0.00225463448743937,-0.0226774556917656,0.00259967582242871,-0.00736203757640873,-0.00572100008317554,-0.0727067092370315,0.00255886042323619,-0.00489764174467256,-0.00272688164578403,-0.00916777680906445,0.0117875518812408,-0.0264081169588756,-0.00712114486545759,-0.00199556303233301
0.00583951790787906,0.0158207460799882,-4.21039714528775e-05,0.00216572495777311,-0.000731269395806175,-0.0915961487255169,0.00117227603857023,-0.019815261382503,-0.0110893748121887,-0.00845305750039833,0.0227489445188997,0.0354747440977423,0.0160114096567512,-0.00163178841151296
0.00492964008884065,0.0125300096007906,-0.000351612198071787,0.00581435726653905,-0.0292525214848858,-0.0662337268022385,5.58643860987449e-05,-0.0593839403980937,-0.00803708275955307,-0.00638627017240153,0.0200227501228357,0.0597048719509719,0.0499680454668893,-0.0058553884676468
0.00244452149195,0.010106195575718,-0.000406655208831758,0.00895118218469796,0.00829089531518673,0.0222301089273491,0.00447934833604975,0.0940418259933339,0.0160424216604919,0.0110416144083835,-0.00855588354946418,0.00597673099681003,-0.00242643814517739,0.00523273927637952
-0.00325415623420976,-0.00192050498487227,-0.000839845652520826,-0.0144162262676802,0.00465645556887212,0.130569245497867,-0.00353336056249378,-0.00498260068695082,0.00925479469113048,0.00755408947862733,-0.0191091416424926,-0.0407490415948155,-0.036623198945493,0.0048087986964195
-0.0173930548966269,-0.0321149317322926,0.00217195707845592,-0.00645633044341642,0.00824396408054619,0.0141170068604593,-0.00371282725457601,-0.0170768554672737,0.0151412190571046,0.0100022984194181,0.0233289263159606,-0.0557280377873314,-0.0255731700457484,0.00250243430893009
-0.00623686022169212,-0.00571059766414606,0.00194568817257692,-0.0166616626090155,0.00126851274777746,-0.038633875655757,-0.0015609586384172,0.0200066669168117,-0.0114360866096571,-0.00714378210830832,0.0111253039533496,-0.0361140590436066,0.000583862748610318,0.00116962859315048
-0.00244376586008871,0.0142713696721077,-0.00027733828875992,-0.0133183294777225,0.00332381731459283,-0.0362505621151352,0.00359400596279259,0.0595397877639905,-0.00451918855482587,0.00170000972707223,0.000986987172214633,-0.0327965341371321,-0.0126720564718025,0.000234901160404044
0.0042475922601851,0.0219814051173718,-0.000772610756658482,-0.00813415876409379,0.00454719212859158,-0.115996631100099,0.00245490562239027,0.0759795135402203,-0.0112427985371449,-0.00309965761509551,0.0233376869738779,0.0129836358343424,-0.000624726138740913,0.000196650949712048
-0.00558809595512007,-0.00113645796429209,0.000530611464463486,-0.0141432973355759,0.00266598812687156,-0.0225890540346129,-0.002121476913656,0.0510215322372816,-0.0103399886699899,-0.0134763229059013,0.0203503601150947,-0.0262113832064449,-0.0274936918269867,0.0040201467322045
-0.00149575813444521,-0.0212016808332803,0.00166943628578849,-0.000763083574579745,0.0066707678507563,0.0653988250724038,-0.00321850263345232,0.0106053533144529,-0.00683595473637295,-0.00315236310434805,0.0200744855282628,-0.0258174055521325,-0.0325657203149942,0.00518045161104687
0.00451707699153898,0.0257594320176209,-0.000156661157240035,-0.00821278757155827,0.00512694022007735,-0.131120310425648,-0.000871525402709286,-0.00446855106358223,-0.00860429876402123,-0.0010098268398068,0.020397569623331,0.00563999126358646,0.0173588340363421,-0.00943212478126319
0.00687885527105497,0.00898538357924247,6.81237484430768e-05,0.01854615187792,0.00507896364159273,-0.094388947723617,0.00581501973977885,-0.0732429630708179,-0.00766422917880999,0.00118331855572295,-0.0237302226887624,0.0470229867792394,0.0414109287151511,-0.0131744874953792
0.00680433983106244,0.0171226770191913,-0.000611084913443493,0.00111666057980729,-0.0105443726186198,0.0340602264229734,0.00443858356978636,-0.0589781395140934,-0.00527468874627886,-0.00208094124588181,-0.000927305708596567,0.0148006124384511,0.00281790215394966,-0.000274373160569997
0.00629844278972521,0.0204321113052986,-0.00344697322374267,0.00600464918011746,0.00129103366377819,-0.0104804603302523,0.0010352760606857,-0.0208653649596225,0.00443719003107978,0.00671829034198293,-0.0434502802513725,0.0319361296242977,0.0182450153985475,-0.000453437059272851
-0.00242695896967909,0.000549735246750493,0.00118341673651525,-0.015752115304387,0.00781010716022642,-0.0125833799062517,-0.00149042060317466,-0.043398439064511,-0.0189638626937506,-0.00965746150547868,-0.00302035187879474,-0.0383755058855503,0.00302294892737556,-0.003539533722521
-0.0434512209350415,-0.0469862991561698,0.00302669761657312,-0.0222239146440115,-0.000899913029934928,0.0210221233859001,0.00129375153986225,0.0623742777844447,-0.0175432837426808,-0.00850669931873214,0.00337170486971042,-0.0600110966896789,-0.0293696688219288,0.00554130425622764
0.00395801548351649,0.0019794250301784,-0.00124904711207885,0.00823786140763977,0.00113612240287279,-0.0302434536520919,0.00640097237800423,-0.0473416269007676,-0.00454583222679489,0.00517890548804159,-0.0442688772250015,0.00206776078021142,0.0295358213415326,-0.008500094252387
-0.00634493672390057,-0.0182606124192459,0.00366102461082173,-0.00258748474172394,0.00709736368644543,-0.0687245376695757,-0.00297961156369407,-0.00731522541097822,-0.0115478524963252,-0.00209830115398491,0.0283988169241916,-0.0231467033703783,0.00719677447243117,-0.00249820782212933
0.00654600168159969,0.00238855464042759,0.00140597835009887,-0.0110427931017901,-0.00313270962196049,-0.021100592677818,-0.00209732051065562,-0.0311081043980388,-0.0149245887880585,-0.00950319008292832,0.0216835794320475,0.00140536439328909,0.0103773928015881,3.68828229819206e-05
0.00478362903362578,0.0134091124536596,-0.000381904595295173,-0.00417085972180914,-0.00619898500447574,-0.0408067048630597,-0.0013787761755427,0.0645815545638734,-0.000834438193964612,-0.00123999434060531,0.00256974987789053,0.033684603106135,-0.0130509504638594,0.00384907138568921
0.00197414923541027,0.00504017789606426,0.000840571868007201,0.00188976724040013,0.00154063377210759,-0.081180605394286,-0.00346287026373446,-0.0146722867403069,-0.000346396746593117,-0.00620356908253483,0.0220119602089675,0.0321612844561137,0.0260466953127064,-0.0027533530095842
-0.0203420820452922,-0.0302728862179411,0.00205915710931859,-0.0188793359519017,0.00325346618906156,0.195627395535385,-0.00550118971828653,-0.0611940354056028,0.0142576752821972,-0.00559090343483288,0.0238257033929471,-0.0562810814055498,-0.0453795065194464,0.00553804354498336
