Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,23506792.008205682,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
d_value,12018561.593507003,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
moran_i_degree,-3052807.5591821237,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
c1,-2415198.052744837,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
bridges_ratio,1989622.4310093024,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
rosval_mean,1930188.9914760368,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
c15,1843202.6821048537,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
getis_gi_degree_mean,977029.4075767177,All_Features,dist_per_rescue,2068266.4211209011,0.7342243253359882,24441451.684562407,Distributed
