"centralization_degree","bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c5","c7","c8","c10","c11","c13","c14","c15","c16"
0.00703001898810406,-0.0476415630025138,0.0390860647668235,0.00782336423712261,-0.38448244901427,-0.240689643340197,0.637970927360037,-0.846229911783143,-0.0931020653114151,0.0171981448086481,-0.292045893207739,-0.400932706101206,0.805896435013697,-0.52682007661518,-0.36725730396889,0.0895444048384399
0.190022182016405,-0.13395648127048,-0.0253605798803819,0.00139770517952285,-0.113868440899293,-0.538621890237967,-2.83631299230174,-1.37690370580145,-0.00570840103722959,0.0249399688264301,-0.806941322234834,-0.43589620429392,0.894264946417997,-0.371369517782312,0.669990150984511,-0.58076427279337
0.143566172868028,-0.162917367431357,0.0548858679037773,0.00430989433392238,-0.071608206894142,-0.654176368994109,-3.89461706336782,-0.766173791981134,-0.127180233693548,0.0339130430419772,-0.668724615178505,-0.74970802421963,0.685463632364112,0.385819470479709,1.36897372324443,-1.28206341239967
-0.071230327353271,-0.908130065920377,0.0624582791243905,-0.00216262328001963,-0.200164142457769,-0.184883183245786,-2.41632451509394,-0.177360042682662,-0.0786238828220265,-0.0194671972945582,-0.110293786179873,-0.343518194693896,0.412269528521831,-1.02588195674086,-0.19536846144457,-0.231715183989514
0.183988182719712,0.630410771989857,-0.00101133481514693,0.0230735986335436,0.0587455046476838,-0.0237124616158711,-3.02980858237717,-0.667798872711833,-0.0637477669631896,0.0109386069809058,-0.44720923856731,-0.316676505254146,0.798045674840923,1.36741293911234,0.437197233780802,-0.190035019485965
0.15539853823599,0.497215920228128,-0.00844011656293647,0.0135108044158441,0.158249027553678,-0.944368390802928,-2.19317988400226,-1.99081479834489,-0.0599858526296797,0.0110770556176555,-0.324609821189961,-0.239372286973727,0.701783131306397,2.30151943159814,1.36590600446,-0.681191207604385
0.0770349373003728,0.406340073272075,-0.00978523995013577,-0.00600314412257298,0.24262245576365,0.267647872545114,0.736868466472272,3.14532293388558,0.144909818867221,-0.0595906597635922,0.647076809190681,0.413673991021592,-0.299601019643054,0.237332440784134,-0.067567668525134,0.609129339132606
-0.102448213325341,-0.0743782044067464,-0.0201672650253209,-0.0212811232910659,-0.390994530214426,0.150655703297785,4.33059187717876,-0.151582192905216,0.137407096942964,-0.0359360788075013,0.373299415711032,0.283066292459109,-0.669847395619021,-1.56945054708975,-0.99874058439242,0.555496292142141
-0.548182758153574,-1.27886262048545,0.0521892770613422,-0.00522025331051462,-0.174941583790462,0.266525508712148,0.499086512548532,-0.549067778539985,-0.00883505698728224,-0.048450465308553,0.61084439305927,0.374900103906122,0.821748852949692,-2.14513264029879,-0.69748059844597,0.291800747775627
-0.196880785698163,-0.233986912458798,0.0467499352079087,0.00461724582843365,-0.452642299634931,0.0407579066468602,-1.3056268063647,0.644556901209757,-0.230227354952623,0.102442549737241,-0.461879671224523,-0.267818858170648,0.387258447813909,-1.40925863774665,0.0152626155970174,0.129473698867659
-0.0769079484362259,0.574817197142843,-0.00667490951527283,-0.00441847488786882,-0.362112799443079,0.107460768562636,-1.17164158666925,2.01094805971197,-0.0233290435838762,-0.0213340377197062,-0.180673720504611,0.0640757114131992,0.037842216845569,-1.25610592034148,-0.34722565576568,0.0358172281134913
0.134062565731413,0.877313669640187,-0.0185462446958078,-0.00356509001919591,-0.220441676634933,0.146904419036689,-3.81662946404341,2.54312566113646,-0.176058746844611,0.0170509313240882,-0.453250843564834,-0.11611167040262,0.819796047020433,0.500020321947168,-0.0156731582562833,0.0192230910763188
-0.176112550969866,-0.0441500546391684,0.012748479236862,-0.000152042181051507,-0.384013608941933,0.0861714449370315,-0.736590945495135,1.71060000010887,-0.179288371594242,0.0885608439420347,-0.416302523701303,-0.504513796688582,0.715484559783993,-1.00961724458525,-0.750940557582231,0.466024719523975
-0.0473822789564013,-0.847692109359142,0.0400996328183348,-0.0084026219435768,-0.0214419975827902,0.215110205557116,2.1378575536375,0.341527070844116,0.0549587120079617,0.0939258748310799,-0.275590215495178,-0.118161379716124,0.70371240941769,-0.999866929938702,-0.891201732971841,0.59954105951011
0.142219403780138,1.02499696014596,-0.0037569097377013,0.0029228075121599,-0.222873406533166,0.165380150873934,-4.33667630122882,-0.159525892920091,-0.12291951436074,0.031673165642498,-0.347448221895955,-0.0380405222682345,0.714747591773259,0.209977585233037,0.474658398033347,-1.0934432418494
0.217426144999127,0.360144644515192,0.00166252976951693,0.0092897232822267,0.504576513716477,0.164331268370034,-3.07987978162468,-2.4259806439804,-0.0013034360964137,0.00403824320978063,-0.308547517388719,0.0445309059544786,-0.83160938497028,1.8217722563729,1.13460849878154,-1.52328193864699
