"centralization_degree","bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c5","c7","c10","c11","c13","c14","c15","c16"
0.0105807880575262,-0.0474017506826666,0.0793315459902938,0.0506202632640172,-0.49632129661213,-0.278055587203706,0.6356955666806,-0.877500851816612,-0.0410065771100513,-0.229470721166307,-0.531175142085795,0.679418664391155,-0.504978541361067,-0.518943715755388,0.102915549927642
0.242389881533981,-0.131634572646849,-0.0512988849629199,0.00907068148344844,-0.146852600310837,-0.623671852599052,-2.85220369976344,-1.45098033495975,-0.00258033710553474,-0.630469509269088,-0.578542329459268,0.755250149563736,-0.357503570738416,0.973427168907935,-0.653118571910142
0.182198824356068,-0.158729389562749,0.111106727790852,0.0278056815995459,-0.0939270500500208,-0.757974666739737,-3.91184611926534,-0.815659480876799,-0.0558245747736707,-0.521713779102988,-0.996588360225791,0.580729294455884,0.362223568469996,1.97719800806167,-1.44397205202794
-0.0907310542271781,-0.876136640632114,0.126498329387674,-0.0139769250601282,-0.259661757870544,-0.214103021004915,-2.41164644548588,-0.183740158791343,-0.0345138373694336,-0.0858928323857918,-0.456364941511217,0.350060250110819,-0.971148732046826,-0.283353478795659,-0.260602866232889
0.234493064137021,0.610524825317629,-0.00205131226655326,0.149022754489195,0.0764395333007048,-0.027272281759224,-3.01292210277241,-0.690343863070586,-0.0279688095104452,-0.34848743240386,-0.420493911456193,0.677775556856814,1.30120413480525,0.633363937015568,-0.212862586889569
0.197949640855016,0.484073858262894,-0.0171242496338693,0.0872410063507024,0.205427108462916,-1.093444395938,-2.16026996672222,-2.06738205478254,-0.0262677490910126,-0.252204757616356,-0.317907573821521,0.598331414923018,2.19083218700575,1.97619861561305,-0.764822621373433
0.0983306177610026,0.390152376882024,-0.0197544422629111,-0.0387383201260783,0.315027382000236,0.309950619982492,0.715556743305902,3.28796742443379,0.0635737560547289,0.50401781572888,0.549775823934567,-0.256327516809821,0.218593637906171,-0.095157167502313,0.684975100278978
-0.130393181030937,-0.0711863718550955,-0.040841454815415,-0.137449463041948,-0.506906866918639,0.174566749480857,4.33555305241113,-0.155131281778886,0.0603371318217542,0.291320013818733,0.376086168691466,-0.567516488398618,-1.48627882529147,-1.44470974449642,0.62516574566994
-0.697965534003113,-1.23602342663139,0.105735620716246,-0.0337019757349017,-0.226754645498592,0.308604482942467,0.486036365371224,-0.582229951490404,-0.00391127024810235,0.476209192033593,0.498074267080986,0.695206597330358,-2.03698996569349,-1.00838753216679,0.327975407881575
-0.251123109176736,-0.225696017162497,0.0946065987710114,0.0297827885189708,-0.587979306053848,0.0470201703712633,-1.30840485547445,0.668704578653979,-0.101054145248666,-0.359922546641165,-0.356185692561162,0.329561970717767,-1.3348225552209,0.0167587626292935,0.144431387918269
