"centralization_degree","rosval_mean","c1","c5","c10","c13","c14"
-10966855.0793683,-53223689.6184424,26400343.5389362,-32380103.4064792,14762593.809871,34836377.9849882,-84446354.575415
1694663.18153086,30966088.3021288,-2560924.99350136,-32638918.0660892,2822638.01271238,2503753.94932357,24290151.5221414
1324134.0152707,-29308445.362366,-14051208.0465153,36788635.1737605,8360904.88584498,23235256.9593239,-2448480.1037468
4345034.77734169,9281983.40330854,-1966671.72250283,-15767500.2131047,13688427.7760726,10776934.1945946,82006395.2485723
-46880.889801867,-30413575.1137819,624029.772669152,85385632.9127152,14499010.0948671,15715524.6486628,-23310287.0432835
-3532354.66285801,-66872655.5624383,18254731.062081,79645351.398523,10386668.9885507,29744294.9847161,-20409245.9903224
-6998191.48991896,-43818590.6662191,2897498.65043181,79652146.9667563,2053256.80915174,9527164.88541949,-36623741.6680715
3703634.54928336,62913214.9492636,14669586.9546503,-41205577.1277278,-1453483.26221433,-29377990.0361202,71516428.1437417
3318148.87716895,12752077.4784496,-17543472.3055578,-15261322.1736446,-8351697.51723365,-55744565.1844041,6242318.62670415
2949510.89157413,5858222.10749644,-2495627.6189321,4311523.03032437,-1463474.49056907,16440373.7987683,24678199.7694512
2654542.83442102,11867922.1959703,18916458.1228713,-8411724.44859036,16023457.2844528,2260994.93195237,37308602.0748316
2142456.17492653,-17868201.9291844,-23316144.794274,-11128558.1918804,3903571.1651303,6610447.06395878,-31598158.5405585
2449125.21487669,16425794.6767353,-16224191.460072,-20007184.5827694,9803178.95475589,-17913395.1921163,-19141151.3607107
-137441.760638881,-17950007.4560622,15985029.4433322,27141762.3521759,5742004.86664547,35871780.5229585,-21951531.3672188
1393181.09408481,-14526620.9762312,-17156795.3621847,-26357384.5443866,-13901465.4342384,18170276.5830605,9313505.22052768
2694333.66291308,34970034.5743309,-16713667.4782878,-4486233.71639182,-8176851.32607917,14535087.793961,113875862.122196
1276315.08239007,29756995.652207,-31224373.3453241,27043281.9581738,-5138605.68407449,-15620789.7049298,47479466.9624962
3008801.37747514,33270714.9957711,7593543.25385393,10201660.4936945,10964045.9504113,8317882.72109423,94450930.8880697
498746.478973049,-26056017.8284684,7960975.13438339,49577233.3984693,2261369.16672417,-16052382.691858,2555222.03187938
