"bridges_ratio","getis_gi_degree_mean","d_value","c5","c7","c12","c13","c14","c16"
-0.098827176666122,0.00775268094615506,2.09490830155714,-1.46057863991934,-0.390910666746745,1.93052186089054,3.11355459768138,-0.785291790979786,0.787405964358664
-0.45942429850854,0.00138435820652003,-8.24732191482054,-2.31778843433921,-0.0238112685640351,1.85718308804446,3.3824198192056,-0.548897439236682,-3.72115219162921
-0.50790058084327,0.00427262307927682,-10.8345582397943,-1.13958407798568,-0.535581665791197,2.06003833764977,2.62814304881555,0.575284264182054,-8.25774128399237
-3.12496756902883,-0.00214334353550657,-7.01400887729403,-0.27999150385254,-0.331914502691368,-0.142376925488681,1.54558939056695,-1.42277020920854,-1.5314116911504
2.0980480596753,0.0228691369266711,-9.09148463249672,-1.12453835096458,-0.270561356176502,1.73498773132525,2.95797819045637,1.8820848963749,-1.35895016066571
1.62743428165288,0.0133914437340701,-6.72493192174126,-3.22154809437779,-0.255304305751724,1.42320891736837,2.574209286506,3.195546850745,-4.60711847681693
1.44154504480809,-0.00595048032637047,2.44992395034507,5.03934763893233,0.612696669520925,-2.42200837803348,-1.0811071643359,0.320896332823941,4.09004094893446
-0.200605193561038,-0.0210923600641845,12.8100985220643,-0.180119986482132,0.580704645154046,-0.29443196440374,-2.49812654935967,-2.15889589971969,3.6858787645145
-4.37169291882574,-0.00517432682255907,1.50842184460195,-0.901117675805434,-0.0368249638241616,1.77630032160811,3.11743861144742,-2.98930615932656,1.94143679790692
-0.889627428450064,0.00457662685711166,-4.21170387961842,0.999028620116791,-0.972847842690471,0.81575154515109,1.37692389466986,-1.96153803977858,0.657130542385565
1.94244545262445,-0.00438054196195226,-3.73624329227607,3.00240183750125,-0.0989365431636939,0.314739004432455,0.110658868563147,-1.79939761909924,0.230462548141732
2.9740278263903,-0.00353324745037904,-11.2308620804726,4.07803157745549,-0.744037168955452,1.53147600218887,3.0547485066999,0.699025906692389,0.0222641618207415
-0.0866481838282034,-0.000150353208233895,-1.66916956567189,2.82735757054173,-0.755204355416986,1.20946902527209,2.76538182533307,-1.37821549516477,3.21129656952576
-2.87719959562494,-0.00832829993644547,6.36519787051322,0.567766579264852,0.232737475719655,1.43701704247372,2.69500314028195,-1.3868013650849,3.96615013314181
3.41465437593345,0.00289709899717995,-12.9544400245215,-0.303377536052717,-0.520851484923576,1.7581754340944,2.61882599319655,0.283430145337483,-7.28530557140174
1.25980693063511,0.0092081284039562,-8.65327649045469,-3.80654593971824,-0.00491487609528693,-1.71167009622361,-3.1209939766749,2.55977349033873,-9.88560663451311
2.32573293068448,0.00472729435172628,3.3938647766191,-2.95910069226574,-0.0427468106945401,-0.390081267143795,-0.144025591315526,0.854756580881642,-0.408602475122187
2.87545477641508,0.000223611746775988,-0.706055303535725,-1.26035854948422,0.092132391879118,-2.44969184865001,-5.68909857562574,1.67361363777037,0.0385432253207381
0.0646901994427245,0.00485845786615661,-1.30190044191839,-2.37018376186682,-0.290831696487327,-0.159957019299426,-0.40789022744724,-2.0780121386979,-2.65402288856321
-6.44566871504438,-0.003318098900455,2.04414960320262,3.39330420183708,-0.118021258103887,0.395905218255828,0.443066753215818,-3.20721560114887,4.11220540592788
0.235297281186962,0.000846989012494084,-3.23609931788834,-2.6293096925802,-0.0590928610639437,-2.87493033003824,-5.89481563070496,0.0755355083991364,-6.39414107609404
-2.52606733996322,0.0102566449715471,-6.74401526673519,-0.446316316896127,0.460559307137967,2.03775744840093,3.74020052036642,-1.25781371939744,-1.90275407141562
0.297647853439165,0.00857962519204461,-2.18210583617002,-1.7186232444375,0.18424043911469,1.85598579987137,2.85201827682593,0.0653959818115839,-0.0192320858705934
1.86162616322967,0.00873078848130237,-3.73121227678621,3.49606348573289,0.0186741502251325,0.255989521818915,0.36456482155569,1.81918283951774,2.93102930605492
0.691657691592806,0.0161691407713402,-7.52196606127151,-0.659442787639085,0.195583643114621,1.22810998151811,2.9220469273006,1.76193855393704,-2.14591214670009
-4.19508565972352,-0.00972736750107462,18.2536720962708,-3.37053180280574,0.508979053698175,1.88270273282726,3.12307472369125,-3.04313464746589,4.07946769441933
0.668611765568836,0.000362706722192074,1.20810525210508,-3.36377572681585,0.387481411888516,0.9668533577097,0.229979951424756,0.895414959175987,0.260639617823656
1.71017082738278,-0.001951640411424,7.35185967666675,3.83287924911822,0.413901096378677,0.894444063769709,2.12439389598388,-0.0390836117855534,5.37281053215288
2.48325319321504,0.0101354977419168,8.4456827521799,-1.55682631475312,0.75454868494064,1.45036227786708,1.01553054638556,3.01735268060983,4.69527534630048
0.642126669560375,0.00704483110920358,3.16106667924445,8.9221260227463,0.56665464295946,0.216810284800371,1.49839975342117,-0.790126913187995,4.63796705116738
2.37376806274905,0.0111809870923547,8.43867830559728,7.97645878638403,0.444345062570544,1.68055304644354,2.50843056795587,-0.828256855990431,5.1493698419333
1.26020287830025,-0.00509117013625203,1.52291890901151,8.03738891094348,0.285135897058245,0.169463862990101,0.76100034151056,-1.42642807970818,4.69305494012089
0.609614816874702,0.00499217692803545,-2.28011081235626,-4.36329130523768,0.0653871817475466,-0.918645543598664,-2.71864857595135,2.5473781966338,-7.02132828715375
-0.882353768765087,-0.00847186406208022,-1.75287204449067,-1.67858731947248,0.138207759057335,-3.50804956454478,-5.09470395476108,0.18243253202212,-1.83707192596347
2.74900755008201,0.00572849539817479,-11.676839384388,0.448989842813628,0.194464915484963,0.490010071433944,1.49711230048631,0.994886336989147,-3.84907526506302
2.27565606242741,0.00330779667556259,7.27005293779601,-1.06260880359085,0.372415503642936,1.08101796194171,0.0977234104129178,1.22961657410161,4.8378565803457
0.0534242907860382,-0.00596831247210278,2.029312643583,-1.2339345286509,0.0116222437851424,0.675615324351231,0.532112026515301,-1.18518897613029,0.493411020017918
2.86290439915836,0.000106291169474043,7.37332536197807,-2.2114212898557,0.480597922156485,-1.59897424712192,-1.69793288764801,-0.700617635206052,2.7214524475837
1.26834451518145,-0.0101159990427263,-3.20196896749361,3.11755103580539,0.0416601149661069,1.80675858658892,3.47930437996604,-0.621388527166839,2.99337286574749
1.08762973389916,0.0139367107664949,-9.22869104171775,-2.60683995592523,-0.654403373764006,1.09379359940432,1.72273768723901,0.431691676566989,-5.27410923463826
3.40631614239789,0.00991153735617036,-11.6527108718345,-0.552297690925041,0.136960789467605,0.473073655811008,1.25647672063528,4.11566978605252,-4.08514198283754
2.30489945457839,-0.00656037834841977,-8.01404228919899,2.94030416154839,-0.014534063531054,-1.78033055830453,-1.3090644961876,1.85676675072513,1.24879330535643
