Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-11.288380898224315,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
degree_sd,-6.333106895442258,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
rosval_mean,-5.988980996261556,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
bridges_ratio,-1.9319732407667058,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
assortativity,0.6298141788525339,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
moran_i_degree,0.35503959047610595,New_Features,road_clear_rate,1.0934762760235124,0.672830090576941,12.055339165667649,Concentration
