"centralization_degree","bridges_ratio","getis_gi_degree_mean","rosval_mean","orientation_entropy","c1","c5","c8","c10","c13","c14","c15"
8875190.27196281,-15768191.585009,-1570290.87030767,-7408342.87657372,6025342.80725468,1903716.13083729,1989567.1016071,-17443.986882991,-6667835.02141927,13595945.3697314,10034688.7299301,32021314.9101596
12607726.8743011,-5569668.7851956,-5056009.11591296,17473865.8822151,5913394.68510635,-23213287.9130823,-57246618.6036432,-2232.27182141095,-5952913.77689566,-15084972.6146449,58610536.257525,72377784.5548683
12250854.7809335,-11122313.8453646,-2612950.52475206,1213477.40993436,-11964291.3867917,-10247304.9359375,-45175479.2630208,-15134.262975836,-4056458.14838457,-122981.29830518,19249288.2337967,5358999.80423621
11015195.6073641,-12123283.1755512,-114301.751655696,5287489.41559987,1311175.98981055,854240.32126886,-23801997.4688687,-8944.90207864711,3356186.22494301,-28546965.9342011,35927005.9817891,29746348.9011424
-3951032.22754246,16566.890884822,-2642196.47221577,-14490556.5935698,9078934.03318084,3079890.63287814,-32631604.3550592,-33314.0000791595,-14879246.3237022,-1783220.42880084,-43105635.1895348,7215813.12606471
-77768507.7520986,28638235.1572797,1806695.39432145,-20829300.2334645,-1099375.88146677,-12327236.5276385,50641845.2023768,-10440.7608219381,-13873517.3562559,2109446.24324172,-73521217.7137666,-51310247.7949955
7264547.82001224,-692537.747944159,-420088.953712688,7896832.31401045,1424030.1905682,-23128579.7394904,-36530706.7510075,19965.2523947531,-3490810.04149647,-28475688.574917,5284471.32725394,53632413.7333342
-11390347.9937104,11284284.7696628,-5648452.76650986,-2486683.16485114,8071908.28869835,8207696.09946749,-7113333.34510571,-15086.6217095592,-9135140.55036451,18274122.8675314,-28297461.3366175,11904457.7787709
11726866.044158,-1433391.88894238,-4719331.3227075,-10285110.9517105,-3568312.04969814,9745147.54194745,-25750274.9541358,-49911.3806374684,-11767649.1352319,14038395.6648355,1824696.61361117,17901917.5069803
8469679.01324173,-8288781.59048772,-4809647.22622551,-3932083.02654072,-7111115.34492765,1593001.87833073,53027186.4722331,-25844.2671506853,-677473.93827691,1604982.82454987,39979140.6551942,-22649904.0016867
3435953.16169814,-3498655.9629544,-8916099.75846534,1749437.48696287,1727732.45080664,12582398.834426,-12145449.5257731,-9734.76483298557,-266751.22387474,14305324.5273783,38217842.3437871,43533824.9808788
-35852388.9177231,19011762.579751,5388815.74809052,-17357758.8515446,3866564.63823775,24608287.574534,-45273589.003475,18863.1913708502,11351367.3524129,15690103.0050878,-64949776.6763153,-74652913.9379709
5542013.39767666,-3146808.23796049,-207441.897816004,10381370.5291178,6769784.48063293,-2351514.45364063,-53123677.5782072,12173.0720535838,2144025.78805687,1138679.863418,19589251.1814451,-3745693.76084709
4028906.04721515,-8009193.68241871,1051771.89215527,-9712705.13973897,-3809237.52643236,-12982170.5006433,56179372.1918187,19734.9187874589,6310821.96124682,10176265.5412593,-3293717.7418287,-63992818.4300444
14273274.1402976,-11344593.0203548,-5593145.96417551,3249642.46607618,807720.211647117,-1842891.4117703,-27111932.6083793,29484.2634380319,10397706.8563824,4827988.70182731,66157679.088142,-14509399.4222741
-446007.659280676,-2853198.61364928,-3902641.20230876,-10206577.0786161,-22631121.9948017,335697.31612909,134145055.131208,26400.6883311521,10956235.5218348,6757604.46451033,-20643169.3639576,-29005543.1602226
-11518887.0927287,-11048517.5543723,-6137412.8700686,-22412748.9095888,3811337.28216453,16725320.0102236,130163905.043951,-18397.8575649909,7905259.33396757,12967898.7928504,-16178454.5954956,-50064704.339547
-22687728.5071674,-5275815.91283408,2834524.99172533,-14952159.2296763,-28003543.1276978,2722562.07411388,132073906.230848,-7023.16378903969,1564079.77014255,3969443.24735616,-29396138.6822602,-34101165.0243635
12085603.1893345,-3111822.04333038,-2755144.02395927,20830923.5080718,9743781.32161657,13274041.3684134,-68132817.2038935,5611.52651275089,-1150591.13843404,-13080634.3205221,56873139.441077,63521369.0244467
