"degree_sd","centralization_degree","bridges_ratio","assortativity","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c5","c7","c8","c9","c10","c11","c12","c14","c15","c16"
2.26351817544091,0.706266554857579,282.353716906631,54.6689987722945,93.8742331078028,-2106.01555382055,1341.15294908754,-971.756583418565,2178.95891967007,977.722808002717,24.7537794223862,9.33777183836953,668.30955613781,5306.70190871059,-1257.95021440418,-2738.63286905106,6179.16064492451,-872.152455496306
1.85251451973574,596.230302880173,654.269391502995,38.2801667433211,16.751215415856,-636.492866093718,2991.34589558283,6899.86601541082,3194.93357887712,60.2695349061073,35.9997504648983,2.65924669051722,1812.93484445623,5798.73508106685,-1227.07043759175,-1713.61882286581,-12232.5460815874,5466.65975464078
1.18737794497896,464.00538496616,772.534516832109,-23.5366100627884,51.8143553498035,-356.952586466664,3635.66540528323,9069.87862214999,1656.84717100858,1342.52240835635,49.0685641172022,-1.96252387240089,1497.0143058327,10041.6972873931,-1358.24935325296,1789.15787907996,-24325.1428838108,12167.1196807647
1.43196447615163,-224.267317709047,4127.13422663753,-42.5940526928768,-25.9356585952519,-1054.40155399389,1031.53757114548,5670.43248964685,414.056992568284,829.905493418968,-28.1249164855743,-35.085493666959,247.818024780337,4614.34074040512,94.4652736874603,-4007.5707918627,3918.62514142802,2260.17048318479
1.20364650616421,594.065644243706,-2772.0980175943,148.218568661875,277.156915079408,336.498685430902,142.768827061731,7153.20752836537,1497.37518803964,677.638960940964,15.8483890021706,4.54089147330962,1003.6236325348,4283.15747444859,-1165.11595737801,5731.63802191651,-7255.78598120645,1948.76269746983
1.05205322383951,499.827030897503,-2250.11460930541,55.0106336113816,162.293292983063,875.371521955332,5238.09813166992,4940.61166609374,4193.56362344804,633.685414547043,16.0532553409469,11.5585548010136,722.473987120399,3211.93269940354,-968.122110509823,9493.93730836533,-24430.2000654621,6446.0329000418
-1.5323616974354,238.333120011471,-1789.45220199604,12.3651858460358,-72.1189202572285,1276.76957001641,-1478.74356768343,-1402.67046074472,-6597.38405830635,-1524.01180299727,-86.20336685378,-46.5246307892307,-1441.94149292003,-5504.61862392663,1634.90203167968,764.811145041005,1198.53978575631,-5693.1987168927
-0.191141597447939,-328.110498002976,272.225024777473,-82.0416806461226,-255.607426754235,-2097.82763922562,-846.656684075944,-10209.4169123395,250.81245846302,-1449.8421618364,-51.9668408108374,-19.1375418793454,-838.097892143859,-3810.6259901564,201.125847117785,-6442.95736750521,17576.2818938912,-5318.08259801237
1.87673891822613,-1747.13117772797,5846.98517190748,-209.060107524604,-62.6747535738314,-929.292398788065,-1464.47002642637,-858.474396032173,1355.69243696989,97.9723442404931,-70.0581390961902,-26.6715026617515,-1361.99355236274,-4944.49477331712,-1172.16026493378,-8624.92549065856,13052.1837132769,-2615.27570265039
1.33172186553892,-616.201339249132,1195.50136130828,-43.9143348945248,55.5678685114649,-2358.50315514474,-213.461832039461,3201.18292458833,-1301.18641228176,2432.60311692619,148.16428019538,-12.3635292146235,1036.9225732015,3662.9615441787,-555.438228365208,-5127.9492726364,1270.9091431973,-862.49424603137
-1.04349643411891,-255.693493839148,-2576.36648478248,40.4241734978566,-53.1161894948608,-1989.10678943778,-596.115017119088,3016.97840682964,-4100.48780058892,242.312558757218,-30.9308489555029,-59.5687890117386,411.350650245268,-889.745761224986,-207.8236921014,-5402.99395008004,5722.75333837569,-413.85826637003
-1.05640047791355,432.060448907058,-3966.69059628538,87.9316771858538,-42.7882233339225,-1162.63084191709,-815.742525300178,8719.98377048572,-5588.6461612854,1853.48474125674,24.6813355498711,-48.5847989797833,1011.26610729941,1558.51209570509,-1029.91095113583,2184.68293874942,422.985011587275,-161.056827664114
1.43022011238845,-566.571271508133,137.384293157238,-15.6315686428073,-1.89159194592622,-2071.09255584527,-491.995400907678,1582.41601993118,-3768.40488881365,1881.82356869593,128.013420047047,66.4580835992951,928.747035696589,6646.42259067881,-795.767230432743,-4299.57509841955,12978.3472114575,-4591.22355380896
-0.231330469096391,-154.290446603644,3811.28117050252,-108.244484811179,-100.930238967333,-129.900485466289,-1195.49268300418,-4936.38151180532,-712.180600852333,-580.232199245765,135.779719467612,80.72925946681,617.600074743141,1548.88911182279,-948.305163322714,-4124.47213044062,15945.5540485388,-5671.33141079535
-1.42410573936562,462.141508665169,-4685.35586384009,63.0087115417499,35.1153693619766,-1177.81028326954,-924.035670024736,9828.25726086775,173.760955167458,1291.39510206728,45.8329307136612,-55.6578359745911,771.729194844292,494.882690785324,-1196.37170047223,984.433441203054,-8691.55130893154,10214.0671537635
0.547844465117192,694.52689871769,-1690.95069681671,69.0281508864417,111.552910637413,2691.60601026256,-921.674333192235,6871.70264117217,5064.45556921381,8.556550575695,5.85841890348376,3.60372771028017,683.977485646498,-639.624091841704,1136.42819055876,7360.2400474961,-20949.2973146446,14203.5435902543
-1.9418941461366,705.846062052351,-3128.96437792165,63.3857880291775,57.3426539538588,223.284750631398,1880.6280954213,-3164.2915860149,3875.57489429885,106.903395244547,39.778515684971,61.7393221974373,464.572004485856,1078.16913406414,242.528064955076,2820.6710381089,-1060.58656758863,453.26410802849
-2.22449907194397,605.238666990699,-3667.30375936238,171.375404026807,2.57289980909205,770.437395728362,-228.042789649685,1402.5721366633,1909.23370631555,-229.280448641744,23.4779622336623,30.0427647934287,-389.823271751939,-3413.73012270643,1668.4771415989,4251.75213770266,-9887.10156250467,214.01767660776
