Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-1.972202341395399,New_Features,total_health,0.2335347695453342,0.6041595528577822,2.882528292482375,Concentration
degree_sd,-1.4127014176460995,New_Features,total_health,0.2335347695453342,0.6041595528577822,2.882528292482375,Concentration
moran_i_degree,0.6679049138739929,New_Features,total_health,0.2335347695453342,0.6041595528577822,2.882528292482375,Concentration
assortativity,0.6526176856112054,New_Features,total_health,0.2335347695453342,0.6041595528577822,2.882528292482375,Concentration
bridges_ratio,-0.5679783270599438,New_Features,total_health,0.2335347695453342,0.6041595528577822,2.882528292482375,Concentration
