"degree_sd","centralization_degree","bridges_ratio","assortativity","moran_i_degree","getis_gi_degree_mean","orientation_entropy","d_value","c1","c2","c5","c7","c8","c11","c12","c14","c15","c16"
-1.18972425410324,0.0212469262390257,-0.289338742989425,-0.43787276506078,0.955200284197843,0.371397681124794,0.0140140273772294,0.901998895245808,-0.489937590850484,-0.175919687053763,-0.73763229522292,-1.29877077240208,0.489803752513797,-0.488000835721634,3.89380499014394,-1.7265892326181,4.78017371051552,1.39645290309526
-0.976394245976034,0.771958249481127,-0.770539589702934,-0.309021933511449,-0.615920148936397,0.0663485397827799,0.030941714713262,-6.3255400735331,1.33896277007148,0.395210051736114,-1.0550085250564,-0.0805768361974602,0.702474429334274,-0.528996807445437,3.75675714820839,-1.19657087090296,-7.43916625574897,-7.6762161276631
-0.624657053677285,0.595885191872625,-0.757470632672603,0.192734684694112,1.33846874344207,0.204689428340552,0.0374374973929861,-8.01436321453024,-0.335021790324262,-0.150620196453407,-0.507169342839304,-1.77737800115262,0.958223318871857,-0.905071748026405,4.210109104581,1.25531527274329,-15.4460165074254,-16.6333556823527
-0.757350511863354,-0.293803508586301,-4.82149455634591,0.342659474230467,1.5152174423459,-0.102892159759853,0.010572559119149,-5.15553608058862,0.336800638918185,0.22577379095472,-0.116169122593656,-1.10781583549566,-0.551180042416822,-0.41527370862698,-0.306583775427374,-3.0622295581201,2.05607291151712,-3.20871804077384
-0.636243559685641,0.752650418982641,3.29162591391774,-1.20099442866531,-0.0273175378637062,1.0928263566283,0.00133265583943208,-6.41812352322396,0.330882795838975,0.103432127606783,-0.458938091002116,-0.899229621454179,0.305010952979808,-0.382646447754895,3.55364297243167,4.04526595934982,-5.09921259033649,-2.62417927823047
-0.558441802758078,0.636336587969417,2.57719035347584,-0.448527200747287,-0.20948827693468,0.639514886020199,0.0540546900140742,-4.55497728835064,0.014020770397378,0.00500938870440372,-1.35566797517375,-0.852277299273998,0.307517783559519,-0.288451406333826,2.91106295628514,6.83307764429577,-15.8560038121389,-9.23907121186819
0.8128739123209,0.319637960680644,2.20322349606326,-0.0943901278263946,-0.229548424708988,-0.283490241619926,-0.0152400348697855,1.48975653997502,1.08990758393457,0.395486173585209,2.15988765932545,2.04588131718872,-1.66881523497343,0.499192600704827,-4.90716990173209,0.713034555001422,1.18889138081917,8.37937322489658
0.102166242993946,-0.41808082113583,-0.330890609515793,0.665656395917003,-0.486436491958179,-1.00783176416411,-0.00863141205300158,9.27464200949111,-0.877186597068977,-0.311610318914898,-0.100928581967044,1.93368064637428,-1.00830236762302,0.342507653794367,-0.599951183671073,-4.60409176153404,11.4820509052671,7.46607001242388
-0.984946012102667,-2.24323721576711,-6.61676318738675,1.69643597287034,1.27579634636812,-0.246499861405378,-0.015215818029439,1.14153538977354,-0.910222807794009,-0.327436991275645,-0.403270395977912,-0.109622953372764,-1.35769416718845,0.453181487549995,3.66027441538899,-6.29805225450348,8.28257193403363,4.22599021378296
-0.706691321433374,-0.807785266635001,-1.27083726407557,0.3529035117412,1.13070835247181,0.218114321638621,-0.00238386549922404,-2.66113963757381,-0.323607184300641,-0.13781833402563,0.50615888502785,-3.23796254387183,2.87866389537797,-0.32308797308113,1.68181519228131,-4.15803867783814,-0.538545943906464,1.45223362298225
