"degree_sd","bridges_ratio","assortativity","moran_i_degree","getis_gi_degree_mean","d_value","c2","c5","c7","c9","c12","c13","c14","c15","c16"
0.285847114038992,-0.123431803442838,-0.624373659392592,0.129844687912773,0.70903894013866,1.51382649999128,-0.463366203215374,-1.18356611174127,-0.684267358255457,-0.0751436616153535,3.32193373208397,2.1479597066777,-1.16142725368331,1.20587841645148,0.923909445270069
0.233606459195993,-0.529613266594593,-0.449237495229567,-0.0842509601150282,0.127491136195809,-7.19931922121561,1.06159149145055,-1.79888967098638,-0.0412788617195433,-0.0214748057467189,3.16621609211911,2.36741332210064,-0.835193255670725,-1.9348048456094,-4.4097261841506
0.149695357887985,-0.57016481405191,0.284438200688034,0.182373259180531,0.38793425225712,-9.31882255507166,-0.402893028209029,-0.875703244784073,-0.94162748368403,0.0166423536833029,3.51277289614697,1.84908047712377,0.883243121205968,-4.03888637540227,-9.73434894794775
0.180363407506535,-3.49510758572151,0.504934502722056,0.207377198530001,-0.194860463452383,-5.95987001846158,0.604760559878835,-0.202267827262064,-0.584036872669292,0.290656839998052,-0.244727965606367,1.09836260662206,-2.17304286135679,0.565328203709757,-1.79993733209099
0.151460939549246,2.36297271864045,-1.77660997933616,-0.00348040523218364,2.06540804744658,-7.64293991504273,0.273260830583923,-0.827665709972967,-0.477025769729102,-0.0383785552873836,2.93953541413585,2.11002377135728,2.86479383161514,-1.31718032943768,-1.58424299815365
0.132158027931469,1.83777923260499,-0.671060215899825,-0.0281221754724904,1.20688204034459,-5.5527534455751,0.00859300217309118,-2.40578648583849,-0.451375266891569,-0.0970107279052288,2.39936766844572,1.85320271328645,4.8621148981646,-4.08607614214576,-5.41470998949953
-0.192667533729857,1.62737122851075,-0.126855672088354,-0.0323481579211287,-0.532671286764561,2.00535712907124,1.06519892204078,3.80916730437198,1.08073524550098,0.387175958760964,-4.0773540973249,-0.781556573423273,0.525147150385797,0.258002776683569,4.8598604807118
-0.0239737982017306,-0.238989492795624,0.98323315138493,-0.0668610186409571,-1.90615897678815,10.8495185790484,-0.833309043932902,-0.160168116788871,1.02182948333685,0.158964528185417,-0.497214392979755,-1.77479416286374,-3.29358650654531,2.95880676554637,4.32788356857459
0.236823775042003,-4.8444674059236,2.50217988013396,0.173398725187547,-0.464535533930542,1.43612997200081,-0.874474226004085,-0.668707670877522,-0.0610926328629208,0.222192706489967,3.06245090813428,2.20758809797321,-4.51875318128335,2.09297960307981,2.38117655570569
0.167215103333685,-0.999145954490283,0.505367234820068,0.155053197576054,0.408003820313904,-3.45117407388208,-0.376310418894989,0.803832954462586,-1.71360388597344,0.100977573640506,1.34687500756637,1.00479516400112,-3.02621200804459,-0.114167688729744,0.754792132085604
-0.131441113719332,2.14893110964489,-0.481015003074308,-0.02231404831791,-0.395958288670776,-3.38814607637607,0.848933458149412,2.24169011696418,-0.174973958942788,0.493829529021172,0.520687290303962,0.0533283223850211,-2.76072720473813,1.06788613751135,0.207245386488103
-0.133284283040315,3.35954890549385,-1.05530029589972,-0.0615959365281073,-0.321714673536595,-9.37519441559562,0.579590900251697,3.15553516505879,-1.30858807519118,0.402209194631958,2.60877498207389,2.18715340323518,1.07585689830762,0.0198557040779303,0.0850558683487292
0.180545987147749,-0.078341570489491,0.201158359060953,0.0425272851692327,-0.00729362200751863,-1.46134076250173,-0.496426789778726,2.13713704773238,-1.32621683747016,-0.549613977819901,2.09174950798437,1.93990657403802,-2.06412246021128,2.25206927805376,3.85128522078985
-0.0288633949434555,-3.20721963838937,1.29879659344896,0.133240188183876,-0.750707755341005,5.442052077636,-0.758597858078332,0.424402905065843,0.411525205639411,-0.668585310252329,2.47215323446347,1.89460027502229,-2.09734399166215,2.65424688823565,4.70892374585679
-0.180141218437083,3.73482536674955,-0.772261033230524,-0.0127858081964137,0.252350931034577,-11.1962984513897,-0.215991486797681,-0.234882318641441,-0.923769909781395,0.459154791586079,2.90530180163606,1.85231538018027,0.345131758713125,-1.48230578829611,-8.73828767476704
0.0690687376648603,1.42565326289945,-0.821610475224127,0.00564369365578638,0.833534967389506,-7.33870584769047,1.37795488752754,-2.88678538558748,-0.00762753281323423,-0.0297777445772718,-2.90321719718747,-2.19667118969685,3.91806163595867,-3.35617995038647,-11.6266706364455
-0.24513170298362,2.61951856418705,-0.771207416358678,-0.0485689488293859,0.422070385374247,3.12426357454367,1.04807015461283,-2.19939457591944,-0.0771545769878188,-0.513324985628353,-0.685209958919722,-0.0556802359886429,1.28720360026929,-0.330829806203922,-0.463857201348473
-0.279333675377603,3.2355651442515,-2.00517085766853,-0.274990131237312,0.0357575373532555,-0.825225285819892,0.254504154615084,-1.02602920690832,0.168512755200891,-0.246572396706119,-4.08510804805568,-4.05474835984663,2.62532668488865,-1.28143191666468,0.115154380814211
0.0840201253537309,0.0447539625382148,0.276064574847606,0.0943080440984044,0.438451298001301,-1.21946376270101,-0.35435290679458,-1.82286183671529,-0.512766324572817,-0.472722766415552,-0.289382019968638,-0.295868585324443,-3.19551816309294,-0.240740817118901,-3.17685695650493
