Map,num_nodes,num_edges,avg_degree,degree_median,degree_max,degree_min,degree_mode,degree_skewness,degree_kurtosis,num_degree4,degree4_ratio,is_connected,num_components,vertex_connectivity,edge_connectivity,diameter,radius,global_clustering,avg_local_clustering,local_clustering_median,local_clustering_sd,local_clustering_max,local_clustering_min,num_zero_local_clustering,zero_local_clustering_ratio,num_articulation_points,articulation_points_ratio,num_bridges,bridges_ratio,num_biconnected_components,max_biconnected_component_size,avg_biconnected_component_size,biconnected_component_size_sd,degree_mean,degree_median,degree_sd2,degree_min,degree_max,degree_cv,closeness_mean,closeness_median,closeness_sd,closeness_min,closeness_max,closeness_gini,closeness_cv,betweenness_mean,betweenness_median,betweenness_sd,betweenness_min,betweenness_max,betweenness_gini,betweenness_cv,eigenvector_mean,eigenvector_median,eigenvector_sd,eigenvector_min,eigenvector_max,eigenvector_gini,eigenvector_cv,pagerank_mean,pagerank_median,pagerank_sd,pagerank_min,pagerank_max,pagerank_gini,pagerank_cv,harmonic_mean,harmonic_median,harmonic_sd,harmonic_min,harmonic_max,harmonic_gini,harmonic_cv,subgraph_mean,subgraph_median,subgraph_sd,subgraph_min,subgraph_max,subgraph_gini,subgraph_cv,alpha_mean,alpha_median,alpha_sd,alpha_min,alpha_max,alpha_gini,alpha_cv,katz_mean,katz_median,katz_sd,katz_min,katz_max,katz_gini,katz_cv,global_efficiency,local_efficiency_mean,local_efficiency_median,avg_clustering,density,assortativity,diameter,avg_path_length,algebraic_connectivity,num_nodes,num_edges,degree_mean,degree_median,degree_sd,degree_min,degree_max,degree_gini,degree_entropy,degree_entropy_norm,degree_skewness,degree_kurtosis,centralization_degree,max_kcore,max_kcore_ratio,modularity,num_communities,community_size_mean,community_size_sd,community_size_max,community_size_gini,community_centralization,cyclomatic_number,cycle_ratio,tree_likeness,top1_degree_share,top5_degree_share,top10_degree_share,powerlaw_xmin,powerlaw_alpha,powerlaw_gof,rosval_min,rosval_1st_qu,rosval_median,rosval_mean,rosval_3rd_qu,rosval_max,rosval_ratio_degree2,rosval_ratio_degree3,rosval_ratio_degree4,rosval_ratio_degree5,rosval_ratio_degree6,rosval_ratio_degree7,rosval_ratio_degree8,rosval_ratio_degree9,rosval_ratio_degree11,rosval_ratio_degree13,rosval_ratio_degree10,moran_i_degree,moran_i_degree_p,moran_i_betweenness,moran_i_betweenness_p,moran_i_closeness,moran_i_closeness_p,geary_c_degree,geary_c_degree_p,geary_c_betweenness,geary_c_betweenness_p,local_moran_degree_mean,local_moran_degree_significant_ratio,local_moran_betweenness_mean,local_moran_betweenness_significant_ratio,getis_gi_degree_mean,getis_gi_degree_hotspot_ratio,getis_gi_betweenness_mean,getis_gi_betweenness_hotspot_ratio,area_total,bbox_width,bbox_height,aspect_ratio,num_edges,avg_edge_length,median_edge_length,sd_edge_length,min_edge_length,max_edge_length,total_edge_length,orientation_entropy,orientation_entropy_norm,order_parameter,node_density_per_km2,edge_density_per_km2,edge_length_density_per_km2,avg_nearest_neighbor_distance,sd_nearest_neighbor_distance,meshedness,spectral_radius,spectral_gap,normalized_spectral_radius,normalized_spectral_gap,natural_connectivity,spectral_entropy,spectral_entropy_norm,graph_energy,estrada_index,laplacian_energy,spectral_mean,spectral_median,spectral_sd,spectral_variance,bipartiteness,d_value
austria20,237,351,2.962,3,5,1,3,-0.9971,3.3834,61,0.257384,TRUE,1,1,1,26,14,0.057398,0.046132,0,0.105856,0.333333,0,195,0.822785,36,0.151899,42,0.119658,44,194,6.3636,28.9451,0.012551,0.012712,0.003984,0.004237,0.021186,0.317448,0.094635,0.093651,0.01362,0.063732,0.127706,0.081746,0.143921,0.041681,0.026564,0.048161,0,0.264111,0.553318,1.155468,0.143,0.015751,0.217734,1.6E-05,1,0.720158,1.522611,0.004219,0.004268,0.001098,0.001794,0.006756,0.139821,0.260177,0.134163,0.136823,0.018719,0.080925,0.168582,0.078024,0.139524,3.617829,3.529022,1.06332,1.641451,6.443599,0.159235,0.293911,1.440019,1.448255,0.145756,1.136661,1.789354,0.052512,0.101218,0.80477,0.809373,0.081457,0.635236,1,0.052512,0.101218,0.134162811018244,0.177215189873418,0,0.0543946932006634,0.0125509547307445,0.0466023403818538,26,10.7950010727312,0.0131105819274193,237,351,2.962,3,0.9403,1,5,0.153618,0.971597,0.700859,-0.9908,3.3549,0.008709,2,0.827004,0.779182,11,21.5455,7.2576,32,0.181051,0.062143,115,0.327635,0.672365,0.007123,0.029915,0.058405,3,5.6558,0.0842,1,12.008764,18.400897,18.597001,24.831703,44.355978,2.75972,2.652556,2.436334,2.432021,2.428644,2.16387,NA,NA,NA,NA,NA,0.128139,0.000924,0.207907,0,0.807083,0,0.819047,6.3E-05,0.706241,0,0.128139,0.097046,0.207907,0.075949,0.137361,0.016878,-0.10005,0.069652,2965036.59,2167.63,1367.87,1.5847,351,95.5806,84.0671,73.6752,7.7525,718.2182,33548.79,3.383245,0.944113,0.01481,79.9316,118.3797,11314.8,47.1941,31.7123,0.245203,3.532783,0.13134,1.969657,0.004549,1.285874,5.267712,0.964106,343.386326,857.425582,402.78296,0,0,1.734495,3.008475,0.933273,1.5017999695644200
austria22,363,567,3.124,3,5,1,3,-1.0905,3.5135,137,0.37741,TRUE,1,1,1,28,16,0.032943,0.026997,0,0.081497,0.333333,0,322,0.887052,48,0.132231,53,0.093474,54,310,7.7037,41.9135,0.00863,0.008287,0.002675,0.002762,0.013812,0.309962,0.08584,0.084206,0.012157,0.062253,0.116774,0.080569,0.141625,0.030141,0.018045,0.03664,0,0.301962,0.563814,1.215654,0.127686,0.021636,0.212507,2.3E-05,1,0.737262,1.664294,0.002755,0.002842,0.000698,0.001134,0.005077,0.135393,0.253472,0.118489,0.119633,0.015066,0.081734,0.152988,0.072388,0.127147,3.821986,3.65772,1.108078,1.641511,6.828658,0.159079,0.289922,1.475853,1.466614,0.155171,1.137002,1.787846,0.055602,0.10514,0.825492,0.820324,0.086792,0.635962,1,0.055602,0.10514,0.11848945128407,0.112029384756657,0,0.0312101910828025,0.0086297429341126,0.0912501320934177,28,11.8807360394503,0.0157288119406984,363,567,3.124,3,0.9683,1,5,0.153221,1.030193,0.743127,-1.086,3.4942,0.005211,2,0.853994,0.799923,11,33,7.0569,42,0.1142,0.043801,205,0.361552,0.638448,0.004409,0.020282,0.037919,3,4.796,0.1525,1,14.550747,21.838459,21.855691,28.913473,51.329125,2.877433,2.88645,2.6607,2.620895,2.534577,2.585687,NA,NA,NA,NA,NA,0.156166,2E-06,0.435976,0,0.869631,0,0.801359,0,0.550596,0,0.156166,0.052342,0.435976,0.088154,0.12246,0.00551,-0.044293,0.089172,6039445.03,2522.31,2394.41,1.0534,567,120.3361,114.1176,74.2478,5.145,820.9763,68230.58,3.417552,0.953686,0.271978,60.1049,93.8828,11297.49,66.4686,43.4925,0.284327,3.703768,0.102324,1.957134,0.005196,1.34077,5.706201,0.968524,537.035814,1387.38104,628.851058,0,0,1.776146,3.154696,0.954821,1.5817831851829100
austria32,217,275,2.5346,3,5,1,3,-0.2954,1.8432,33,0.152074,TRUE,1,1,1,26,14,0.027076,0.017358,0,0.068047,0.333333,0,202,0.930876,62,0.285714,78,0.283636,79,139,3.7342,15.4137,0.011734,0.013889,0.005252,0.00463,0.023148,0.447595,0.097433,0.097605,0.016312,0.06506,0.135423,0.095625,0.167413,0.044491,0.023775,0.055219,0,0.298938,0.624298,1.241134,0.081776,0.010278,0.165789,6E-06,1,0.781305,2.027364,0.004608,0.005014,0.001735,0.002037,0.010457,0.207586,0.376555,0.135822,0.136879,0.021731,0.092801,0.181652,0.091553,0.159993,3.046943,3.262404,1.146288,1.641507,8.015465,0.199933,0.376209,1.364394,1.421005,0.166248,1.136901,1.768635,0.06626,0.121848,0.771439,0.803447,0.093998,0.642813,1,0.06626,0.121848,0.135822247901785,0.0691244239631336,0,0.0256235827664399,0.0117340843147295,-0.0570555272542022,26,10.56558286397,0.00954899086428599,217,275,2.5346,3,1.1345,1,5,0.232409,1.053478,0.759923,-0.2934,1.8263,0.01152,2,0.640553,0.789944,12,18.0833,4.6604,26,0.133257,0.096459,59,0.214545,0.785455,0.009091,0.041818,0.078182,3,6.1032,0.0497,1,11.076816,16.831703,17.724299,23.533576,45.74557,2.547835,2.947694,2.386525,2.359348,2.419344,2.466458,NA,NA,NA,NA,NA,0.081506,0.025773,0.314505,0,0.806233,0,0.911727,0.027635,0.631567,0,0.081506,0.036866,0.314505,0.064516,0.108518,0.032258,-0.050641,0.068027,6183040.89,2573.58,2402.51,1.0712,275,130.8324,106.2349,96.3015,3.0582,642.826,35978.91,3.310636,0.92385,0.434114,35.096,44.4765,5818.97,67.2446,49.1964,0.137529,3.40431,0.156209,1.96913,0.003911,1.114139,5.157165,0.959423,286.695135,661.186702,370.983214,0,0,1.601504,2.564815,0.929563,1.4994250482524100
austria37,211,247,2.3412,3,4,1,3,-0.3826,1.5252,13,0.061611,TRUE,1,1,1,43,22,0.050239,0.030016,0,0.092836,0.333333,0,190,0.900474,86,0.407583,116,0.469636,125,50,2.68,4.5942,0.011149,0.014286,0.004934,0.004762,0.019048,0.44254,0.062284,0.062075,0.012194,0.038589,0.087756,0.112175,0.195783,0.075118,0.019002,0.126031,0,0.509045,0.73269,1.677782,0.052302,8E-06,0.165423,0,1,0.91506,3.162842,0.004739,0.005275,0.001798,0.00216,0.00918,0.210799,0.37943,0.101772,0.101492,0.017879,0.065128,0.140476,0.100762,0.175677,2.908407,3.144662,1.093269,1.64145,6.626877,0.200776,0.375899,1.324728,1.395887,0.142583,1.13663,1.60329,0.056657,0.107632,0.826257,0.87064,0.088932,0.708936,1,0.056657,0.107632,0.101772086457586,0.0995260663507109,0,0.0469135802469136,0.0111487248928007,-0.215164230936189,43,16.6996163394268,0.00176519548777581,211,247,2.3412,3,1.0361,1,4,0.221559,0.856263,0.779404,-0.3799,1.5108,0.007974,2,0.549763,0.847563,14,15.0714,3.5402,20,0.128301,0.105135,37,0.149798,0.850202,0.008097,0.040486,0.080972,1,1.8563,0.3474,1,13.6797,24.112659,25.520034,35.944363,65.777694,3.761988,4.012473,3.441811,3.882779,4.530113,NA,NA,NA,NA,NA,NA,0.003448,0.427317,0.145686,0.000337,0.886993,0,0.962452,0.207698,0.881762,0.021449,0.003448,0.009479,0.145686,0.118483,0.180123,0.009479,-0.042039,0.103704,6196066.64,2511.66,2466.93,1.0181,247,128.3221,90.1298,118.3765,6.3704,762.3592,31695.57,3.420062,0.954387,0.250547,34.0539,39.864,5115.43,62.9803,58.5242,0.088729,3.148458,0.228419,1.989192,0.000767,1.067605,5.10446,0.954621,274.232313,613.673841,351.317921,0,0,1.570563,2.466667,0.973927,1.4836414998150100
belgium04,348,519,2.9828,3,5,1,3,-0.8926,3.6462,80,0.229885,TRUE,1,1,1,31,18,0.065732,0.055364,0,0.117067,0.333333,0,279,0.801724,47,0.135057,52,0.100193,54,286,7.4259,38.6438,0.008596,0.008646,0.002679,0.002882,0.014409,0.311676,0.085569,0.085711,0.013398,0.052544,0.114977,0.089166,0.15658,0.031786,0.019753,0.035881,0,0.241083,0.562427,1.12884,0.067475,0.008992,0.142549,5E-06,1,0.783903,2.112626,0.002874,0.002848,0.000733,0.001209,0.004735,0.13502,0.25516,0.117557,0.119057,0.017629,0.067134,0.154711,0.084459,0.149963,3.701967,3.498404,1.204642,1.641568,9.038644,0.16995,0.325406,1.444152,1.446003,0.146461,1.136962,1.82237,0.052138,0.101417,0.792458,0.793474,0.080368,0.623892,1,0.052138,0.101417,0.117556720978374,0.196360153256705,0,0.0644370122630992,0.00859584616913445,0.0990141980283971,31,11.9979793964689,0.0115469953979219,348,519,2.9828,3,0.9297,1,5,0.149176,0.984481,0.710153,-0.8887,3.6253,0.005847,2,0.856322,0.803815,14,24.8571,6.4194,35,0.140805,0.056478,172,0.331407,0.668593,0.004817,0.024085,0.044316,3,5.728,0.0683,1,13.943064,20.60445,21.140403,27.720672,52.495109,2.807581,2.90615,2.594768,2.53923,2.475888,2.487637,2.350459,NA,NA,NA,NA,0.120415,0.000223,0.266677,0,0.837926,0,0.827069,6E-06,0.696332,0,0.120415,0.054598,0.266677,0.051724,0.077357,0.017241,-0.089991,0.046823,5997912.2,2435.78,2462.42,1.0109,519,121.1226,107.8116,95.4285,4.4771,669.9437,62862.61,3.459754,0.965463,0.232894,58.0202,86.5301,10480.75,53.4215,49.7599,0.248915,3.573093,0.047111,1.977312,0.004273,1.308864,5.651276,0.966142,514.58014,1288.284676,594.593656,0,-0.004213,1.752725,3.072046,0.913727,1.6439337879040200
belize01,1094,1477,2.7002,3,5,1,3,-0.6116,2.0897,232,0.212066,TRUE,1,1,1,48,26,0.026923,0.020414,0,0.077048,0.5,0,1017,0.929616,264,0.241316,301,0.203791,302,793,4.6192,45.5169,0.00247,0.002745,0.000986,0.000915,0.004575,0.399154,0.052971,0.053118,0.00776,0.033881,0.071457,0.083592,0.146489,0.016762,0.005391,0.027677,0,0.202743,0.709027,1.651193,0.039606,3.7E-05,0.136331,0,1,0.920362,3.442193,0.000914,0.00099,0.000299,0.000399,0.001964,0.17937,0.326979,0.071393,0.07178,0.010423,0.04217,0.092895,0.083412,0.146001,3.226295,3.311006,1.095594,1.641451,6.968749,0.186497,0.339583,1.393905,1.430169,0.164689,1.136665,1.779243,0.063996,0.118149,0.783426,0.803808,0.092561,0.638847,1,0.063996,0.118149,0.0713925403152277,0.0695206175096486,0,0.027504105090312,0.00247043258495562,0.0821484918916358,48,19.3037561614462,0.00291103296849249,1094,1477,2.7002,3,1.0778,1,5,0.204659,1.026955,0.740792,-0.6107,2.0858,0.002108,2,0.724863,0.869766,21,52.0952,21.9269,100,0.230696,0.031726,384,0.259986,0.740014,0.001693,0.007448,0.014218,3,5.8365,0.0761,1,22.94949,34.099699,34.455656,45.200172,90.853433,3.621663,3.668299,3.638375,3.41706,3.354161,3.564789,NA,NA,NA,NA,NA,0.086487,8E-06,0.316131,0,0.922579,0,0.911025,1.2E-05,0.649222,0,0.086487,0.051188,0.316131,0.080439,0.013605,0.018282,0.040795,0.091133,6173052.18,2492.59,2476.57,1.0065,1477,65.3687,54.859,49.952,3.8265,415.604,96549.51,3.435642,0.958734,0.240048,177.2219,239.2658,15640.48,45.4777,29.2029,0.175905,3.641034,0.178939,1.979863,0.001112,1.171334,6.782935,0.96945,1510.359098,3529.566637,1878.352573,0,0,1.65064,2.724611,0.963699,1.6897192835278800
belize04,600,843,2.81,3,5,1,3,-1.0514,3.4424,86,0.143333,TRUE,1,1,1,39,20,0.024,0.021389,0,0.079741,0.333333,0,558,0.93,101,0.168333,117,0.13879,120,474,5.9917,43.0857,0.004691,0.005008,0.001482,0.001669,0.008347,0.316015,0.064922,0.063373,0.010351,0.042786,0.089657,0.090873,0.15944,0.02474,0.011494,0.034326,0,0.226387,0.628188,1.387513,0.055809,0.001178,0.144382,0,1,0.854942,2.587049,0.001667,0.001718,0.000433,0.000753,0.002981,0.137477,0.259735,0.088297,0.088722,0.013485,0.052765,0.119201,0.087303,0.152728,3.303852,3.360505,0.891879,1.64145,5.7785,0.14053,0.269951,1.407178,1.429412,0.134241,1.136633,1.750896,0.047459,0.095397,0.80369,0.816389,0.07667,0.649172,1,0.047459,0.095397,0.0882965183052034,0.07,0,0.0257181028724115,0.00469115191986644,0.0587256554778298,39,15.7942570951586,0.00603040192701559,600,843,2.81,3,0.888,1,5,0.144353,0.847159,0.611096,-1.0488,3.4309,0.003668,2,0.811667,0.845104,17,35.2941,15.0448,77,0.220588,0.04259,244,0.289442,0.710558,0.002966,0.012456,0.024318,3,7.1396,0.0324,1,17.514654,25.661778,26.005705,34.156605,63.174809,3.213543,3.37792,2.931423,2.927947,2.769502,2.429527,NA,NA,NA,NA,NA,0.131685,0,0.414633,0,0.918758,0,0.844379,0,0.548324,0,0.131685,0.045,0.414633,0.08,0.071355,0.028333,-0.033647,0.082164,6174841.53,2468.24,2501.72,1.0136,843,84.1529,75.0232,58.5891,5.732,525.251,70940.91,2.89592,0.808122,0.609886,97.1685,136.5217,11488.7,48.041,28.2402,0.204184,3.493371,0.165469,1.981026,0.002324,1.195089,6.187852,0.967568,853.917298,1982.311248,990.613269,0,0,1.683664,2.834725,0.978515,1.589232380448700
bolivia01,713,1128,3.1641,3,6,1,3,-1.1655,4.301,258,0.361851,TRUE,1,1,1,44,22,0.025508,0.026648,0,0.086389,0.333333,0,646,0.906031,67,0.093969,85,0.075355,86,628,9.2791,67.5033,0.004444,0.004213,0.001236,0.001404,0.008427,0.278229,0.061957,0.060824,0.010052,0.037454,0.084893,0.092105,0.162235,0.021899,0.0112,0.024077,0,0.106564,0.570454,1.099447,0.132639,0.017626,0.226991,0,1,0.752858,1.711349,0.001403,0.001425,0.000304,0.000565,0.002769,0.11029,0.216914,0.086145,0.085458,0.012956,0.048282,0.109105,0.08569,0.150401,3.840388,3.59337,1.065281,1.64145,8.388863,0.150155,0.277389,1.481655,1.451931,0.149165,1.136634,1.957365,0.053114,0.100675,0.756964,0.741778,0.076207,0.580696,1,0.053114,0.100675,0.0861453463465856,0.093969144460028,0,0.0297339593114241,0.00444395417369242,0.24989694429224,44,16.5701538049388,0.00862135754596863,713,1128,3.1641,3,0.8803,1,6,0.133903,0.965077,0.599636,-1.1631,4.2889,0.003994,2,0.880785,0.83054,15,47.5333,16.6385,71,0.186816,0.029446,416,0.368794,0.631206,0.00266,0.010638,0.019504,4,17.6369,0.0085,1,19.160387,28.448868,28.719439,37.851161,68.778134,3.57073,3.544122,3.305103,3.153717,2.695205,2.710489,2.613922,NA,NA,NA,NA,0.310965,0,0.618589,0,0.929082,0,0.606025,0,0.33796,0,0.310965,0.084151,0.618589,0.136045,0.101068,0.00561,-0.134025,0.14241,4677888.78,2467.8,1895.57,1.3019,1128,73.8161,79.0944,47.7287,5.3057,291.7496,83264.52,3.247013,0.906096,0.496146,152.4192,241.1344,17799.59,48.3141,33.8023,0.292752,3.867747,0.095532,1.976568,0.002884,1.345574,6.382671,0.971772,1059.096203,2738.196991,1209.201629,0,0,1.783192,3.179775,0.994025,1.5821337142354800
bulgaria05,270,326,2.4148,3,5,1,3,-0.2947,1.6495,30,0.111111,TRUE,1,1,1,26,14,0.004823,0.002222,0,0.023421,0.333333,0,267,0.988889,89,0.32963,104,0.319018,105,166,3.5619,16.0048,0.008977,0.011152,0.004064,0.003717,0.018587,0.45275,0.094676,0.093533,0.016762,0.062602,0.137385,0.100703,0.177041,0.036931,0.02041,0.046913,0,0.302968,0.63046,1.2703,0.071739,0.018343,0.141855,9.7E-05,1,0.744702,1.97739,0.003704,0.004096,0.001414,0.001721,0.007656,0.210851,0.381726,0.125434,0.122558,0.022052,0.08285,0.181671,0.100514,0.175806,2.835071,3.148625,0.958753,1.641509,6.394017,0.180353,0.338176,1.340637,1.398699,0.156678,1.136964,1.769726,0.062726,0.116868,0.757539,0.790348,0.088532,0.642452,1,0.062726,0.116868,0.125434084658102,0.0111111111111111,0,0.00342857142857143,0.00897700674652348,-0.0729310756021945,26,10.8974528431778,0.0117011506070664,270,326,2.4148,3,1.0933,1,5,0.232493,0.967654,0.698015,-0.2931,1.6373,0.009682,2,0.614815,0.803008,14,19.2857,5.6354,32,0.156614,0.081373,57,0.174847,0.825153,0.007669,0.032209,0.062883,3,7.0532,0.0314,1,11.813781,17.385365,17.602309,22.957234,43.967412,2.447311,2.826084,2.336663,2.186374,2.058039,1.763845,NA,NA,NA,NA,NA,0.010874,0.357356,0.374655,0,0.79375,0,0.953178,0.126826,0.549343,0,0.010874,0.037037,0.374655,0.096296,0.066618,0.033333,0.018976,0.091429,3443107.06,1878.56,1832.84,1.0249,326,90.4183,76.3339,69.4624,7.4212,430.5579,29476.36,3.484882,0.972475,0.03957,78.4175,94.6819,8560.98,44.5137,36.7761,0.106542,3.290468,0.239648,1.988752,0.00518,1.042067,5.367158,0.959327,348.921431,765.469233,447.471425,0,0,1.556853,2.423792,0.914324,1.5805302121668800
bulgaria06,108,116,2.1481,3,6,1,1,0.3373,2.2445,7,0.064815,TRUE,1,1,1,21,11,0.014925,0.009259,0,0.055034,0.333333,0,105,0.972222,46,0.425926,81,0.698276,83,20,2.2892,2.075,0.020076,0.028037,0.010752,0.009346,0.056075,0.535576,0.110845,0.109969,0.021921,0.073793,0.163609,0.112138,0.197761,0.079007,0.033533,0.12673,0,0.536913,0.714449,1.604049,0.179291,0.072782,0.253233,0.000115,1,0.674662,1.412415,0.009259,0.010245,0.004397,0.004538,0.027655,0.25086,0.474881,0.158469,0.153987,0.032005,0.101895,0.232226,0.114753,0.201964,2.566494,3.025978,0.944907,1.64145,6.038711,0.192626,0.36817,1.292359,1.366331,0.151343,1.13663,1.741745,0.06217,0.117106,NA,NA,NA,NA,NA,NA,NA,0.158468578245567,0.037037037037037,0,0.0178571428571429,0.0200761509172724,-0.365223993925589,21,9.37469712703358,0.00660622246029801,108,116,2.1481,3,1.1505,1,6,0.27251,0.933579,0.673435,0.3326,2.2032,0.036678,2,0.324074,0.77118,11,9.8182,2.4827,14,0.136364,0.236266,9,0.077586,0.922414,0.025862,0.094828,0.172414,3,7.314,0.0115,1,8.661778,14.094738,14.866136,20.983706,35.663406,2.633819,2.629484,2.438586,2.433048,1.925067,NA,2.605214,NA,NA,NA,NA,-0.080609,0.873103,0.208639,0.000173,0.775136,0,1.095638,0.926187,0.748337,0.000796,-0.080609,0.046296,0.208639,0.074074,0.142782,0.027778,-0.031113,0.089286,4375702.02,2472.83,1769.51,1.3975,116,107.0644,78.7269,97.4153,0,541.7697,12419.47,3.194801,0.891526,0.255837,24.6818,26.51,2838.28,63.1015,55.4223,0.042654,2.930271,0.264801,1.995537,0.003195,0.951939,4.431627,0.948382,128.022218,279.798611,175.612551,0.009259,0,1.469283,2.158792,0.963748,1.45166571577613
burundi03,683,877,2.5681,3,5,1,3,-0.4966,1.9197,101,0.147877,TRUE,1,1,1,41,25,0.029027,0.02001,0,0.07392,0.333333,0,632,0.925329,190,0.278184,239,0.27252,243,436,3.8066,27.841,0.003766,0.004399,0.00157,0.001466,0.007331,0.416857,0.05596,0.056692,0.007113,0.037615,0.072762,0.072595,0.127112,0.025222,0.008607,0.03724,0,0.204943,0.686363,1.476532,0.031836,1.5E-05,0.127255,0,1,0.939696,3.997222,0.001464,0.001555,0.000511,0.000649,0.003403,0.193023,0.349067,0.076758,0.07807,0.01121,0.046011,0.100929,0.083234,0.146048,3.069603,3.264612,1.048105,1.64145,6.302552,0.18603,0.341446,1.368074,1.41957,0.158572,1.136633,1.655894,0.062446,0.115909,0.826185,0.857283,0.095762,0.686417,1,0.062446,0.115909,0.0767576523883349,0.0746705710102489,0,0.0282953761214631,0.00376551611615136,-0.00830475841202908,41,18.1758715001524,0.00295633860047119,683,877,2.5681,3,1.0705,1,5,0.212275,0.985584,0.710949,-0.4955,1.9141,0.003576,2,0.654466,0.872366,21,32.5238,9.574,50,0.162449,0.049971,195,0.222349,0.777651,0.002851,0.012543,0.023945,3,6.5833,0.0449,1,20.33985,30.416666,30.052127,39.758662,67.793988,3.469359,3.745497,3.252203,3.317956,3.377541,NA,NA,NA,NA,NA,NA,0.144574,0,0.368023,0,0.880008,0,0.840647,0,0.607228,0,0.144574,0.102489,0.368023,0.093704,0.104212,0.040996,-0.015959,0.10766,4559363.72,2443.25,1866.11,1.3093,877,70.9456,48.8233,68.6015,2.471,987.8938,62219.33,3.310614,0.923845,0.369307,149.8016,192.3514,13646.49,41.6317,28.0613,0.143277,3.483627,0.02298,1.997634,0.00115,1.121548,6.302762,0.965936,913.884885,2096.538732,1150.354096,0,0,1.607351,2.583578,0.986314,1.6229754447068100
canada33,407,465,2.285,3,7,1,3,0.2748,2.7011,31,0.076167,TRUE,1,1,1,34,17,0.052204,0.034398,0,0.108058,0.666667,0,366,0.899263,152,0.373464,205,0.44086,212,156,2.9151,10.6652,0.005628,0.007389,0.00288,0.002463,0.017241,0.511648,0.064289,0.063034,0.011189,0.042589,0.090343,0.09826,0.174038,0.03709,0.008928,0.063833,0,0.324997,0.746961,1.72102,0.025155,0,0.114604,0,1,0.953523,4.555913,0.002457,0.002687,0.001112,0.001171,0.007867,0.241024,0.452551,0.088071,0.08695,0.014662,0.055559,0.12472,0.094274,0.166474,2.798333,3.141341,1.103802,1.64145,7.443749,0.208732,0.39445,1.31909,1.394801,0.158429,1.13663,1.89749,0.064322,0.120105,NA,NA,NA,NA,NA,NA,NA,0.088071298222103,0.101556101556102,0,0.0593220338983051,0.00562810907638494,-0.302254710976528,34,16.0216167802375,0.00252824317073417,407,465,2.285,3,1.1691,1,7,0.26161,0.990778,0.615605,0.2738,2.6879,0.011671,2,0.523342,0.8873,18,22.6111,6.8354,35,0.165029,0.110163,59,0.126882,0.873118,0.007527,0.031183,0.054839,3,6.8867,0.0071,1,17.760114,25.790731,25.995176,34.266291,58.817037,3.368387,3.284401,3.155399,3.097904,3.482508,3.799012,3.362598,3.741531,NA,NA,NA,-0.101081,0.998766,0.312349,0,0.81902,0,1.125731,0.999804,0.527059,0,-0.101081,0.029484,0.312349,0.061425,0.018755,0.009828,-0.070097,0.072034,4114818.98,2521.58,1631.84,1.5452,465,78.0439,45.5596,89.5211,0,781.3538,36290.41,3.488567,0.973503,0.141778,98.9108,113.0062,8819.44,31.0638,31.3551,0.07293,3.299535,0.254013,1.99514,0.00109,1.031319,5.770416,0.960719,503.900222,1141.538932,681.426149,0.002457,0,1.519169,2.307876,0.963092,1.5617687979031600
canada34,365,467,2.5589,3,4,1,3,-0.5116,1.8619,55,0.150685,TRUE,1,1,1,26,15,0.051948,0.035616,0,0.098575,0.333333,0,320,0.876712,101,0.276712,122,0.261242,124,241,3.9355,21.4623,0.00703,0.008242,0.002937,0.002747,0.010989,0.417766,0.083753,0.082615,0.011127,0.060727,0.114071,0.075157,0.132852,0.030717,0.012619,0.045924,0,0.312088,0.667702,1.495098,0.060935,0.001204,0.164743,0,1,0.87488,2.703601,0.00274,0.003011,0.000958,0.001219,0.005143,0.192141,0.349784,0.109403,0.109704,0.015287,0.072546,0.145211,0.079822,0.139728,3.101091,3.267657,1.080699,1.64145,5.842846,0.190539,0.34849,1.366011,1.423848,0.156135,1.13663,1.650321,0.061288,0.1143,0.827724,0.862771,0.094609,0.688733,1,0.061288,0.1143,0.10940270302608,0.122374429223744,0,0.0505836575875487,0.00702995634502484,-0.0613775798420888,26,12.1501279542375,0.00739339136927818,365,467,2.5589,3,1.069,1,4,0.212848,0.972929,0.885598,-0.5095,1.8517,0.003981,2,0.668493,0.834788,16,22.8125,7.2684,36,0.171062,0.066727,103,0.220557,0.779443,0.004283,0.021413,0.042827,1,1.7856,0.3816,1,14.246741,20.264663,20.053993,25.849625,42.83547,2.548486,2.769093,2.40961,2.456492,2.706971,NA,NA,NA,NA,NA,NA,0.026226,0.201356,0.273575,0,0.698835,0,0.970929,0.208376,0.717259,0,0.026226,0.093151,0.273575,0.084932,0.02849,0.030137,-0.004449,0.085603,5399071.15,2847.55,1896.04,1.5018,467,111.9949,94.5572,88.7272,5.2531,732.9545,52301.64,3.11047,0.867993,0.42651,67.6042,86.4964,9687.16,52.2627,37.467,0.142069,3.432983,0.062638,1.98757,0.002891,1.131754,5.675633,0.962436,491.46147,1131.898206,623.105837,0,0,1.612111,2.598901,0.950579,1.5792454203012100
