"degree_sd","centralization_degree","bridges_ratio","moran_i_degree","getis_gi_degree_mean","orientation_entropy","d_value","c2","c5","c7","c8","c12","c13","c14","c15","c16"
-1.53771372696667,0.0122898545183286,-0.279600199175313,0.245552419182992,0.427260513268803,0.119079697125006,0.80769027265433,-0.231743625543683,-0.544344271387458,-1.41453605232826,0.480828816088677,2.76470595815539,0.674645190324513,-1.44915569081061,4.64196063087357,1.45364226588268
-1.26276537114547,0.54593066623775,-0.702635763263167,-0.159507737628586,0.076346823769367,0.262678392352751,-5.82127481502674,0.521104039289452,-0.774121339730651,-0.087401066232547,0.690172744175151,2.67954091603622,0.760284820426049,-0.991670281874276,-7.25891620437141,-7.97636876153618
-0.806358185811644,0.421670149246537,-0.675430550401342,0.345351627008646,0.235719048833541,0.317872710820086,-7.34948748486967,-0.19834137602485,-0.37180221934728,-1.93372479874056,0.942638995653148,3.00547046237521,0.596940717276806,1.0426982755412,-15.0280774800675,-17.2059923093271
-0.981639947338713,-0.207902901617876,-4.396127522997,0.392211791186755,-0.118635728215457,0.089679819644921,-4.7654558258315,0.297458337433717,-0.0851912367138028,-1.20988545852736,-0.542777618021149,-0.218511261153726,0.356096014530311,-2.53544701739914,1.95884904101741,-3.41409469453239
-0.824782415993562,0.532367732450177,2.97180207451817,-0.0066012132761615,1.25654045165359,0.0112494540721706,-5.93261687458665,0.136046994739291,-0.33700346824501,-0.984439618781169,0.297960533526538,2.53460593552201,0.689477442400951,3.33222010925932,-5.03694028139936,-2.83100339049432
-0.724732410457329,0.450932486489597,2.33565121623667,-0.0532434389621069,0.735262143014491,0.458794334789935,-4.20140402634356,0.00631928173023228,-0.992591312634642,-0.932990032641682,0.301419618822102,2.08550786970803,0.611942209987547,5.64842292683167,-15.5088763218128,-9.68894896115963
1.0549146383656,0.225139796502834,2.01610288418888,-0.0609931800415096,-0.325593890546889,-0.129214255674653,1.39965463808618,0.521882673988127,1.58186198566344,2.23493808822037,-1.63790476795004,-3.51257135190356,-0.264024925451834,0.590043476903697,1.22327407032505,8.83730988974183
0.133800045994662,-0.295838462972805,-0.280421469433836,-0.126338853181304,-1.15878506219141,-0.0731875377350545,8.56161115798411,-0.410526316314326,-0.0735455670717688,2.1108992213206,-0.989332432687357,-0.426935467783075,-0.5765823329163,-3.79515030047714,11.2691719797959,7.84907248166279
-1.27434261417141,-1.58974670495933,-6.05789931722325,0.32820346544778,-0.283623778696698,-0.129064242088958,0.982832469573572,-0.431695517792303,-0.301077429947399,-0.122422558223307,-1.3353445523076,2.59091465321362,0.706432677810068,-5.23827773071748,8.0001647022671,4.30279099189747
-0.91874162314923,-0.571813807916449,-1.18804223472423,0.293367003941806,0.250347692480415,-0.0203093351001049,-2.49506075865886,-0.182237263609663,0.37058910414814,-3.53410657905526,2.82661568970086,1.19996142766613,0.340696840601425,-3.44959842662271,-0.632613566899884,1.33432673821734
0.713207885355477,-0.22876016344941,2.67685103286495,-0.0422053854957861,-0.240719117589013,-0.0513681664073685,-2.69200649376315,0.417477375996608,0.944400154913742,-0.359705035562205,-0.590038024019952,0.44235026119693,0.0162059003380028,-3.18795727767379,4.04376220778587,0.39165564106484
0.716955807025408,0.389626285388795,4.18448431549065,-0.116686251073346,-0.19483346208367,-0.072019268447741,-7.35813729382388,0.285821259694191,1.34245392378629,-2.70131273890889,0.468383822471871,2.23422207586769,0.712250021026375,1.2462294776059,-0.0236244913776952,0.0765127524816071
-0.969771966690154,-0.507840031910848,-0.121444704751299,0.0805820212379134,-0.00676341990613989,-0.0415207358571653,-1.32407437460068,-0.24616318755502,0.87905872452037,-2.72997179144109,2.45565653935248,1.75759769656189,0.617559538910356,-2.41128600911037,8.63988309962942,6.97952833906326
0.160102408275644,-0.137882231144448,-4.05035557250865,0.252011693707625,-0.457597931141989,-0.104308672216626,4.12216338958729,-0.374772185467726,0.159975261908979,0.844161625479203,2.59782471496429,2.07306539025919,0.603862767841202,-2.4582095195556,9.97119260240938,8.29760993380487
0.955719855256719,0.399880133593226,4.65588211971998,-0.0245929207328289,0.156446705449605,-0.0813550607513994,-8.63111831247439,-0.10296664508178,-0.0601104359241134,-1.92088655572129,0.857482573902105,2.52184811324124,0.61827525399996,0.415432741047499,-6.04244699399805,-15.9286228974114
-0.368149626324142,0.63893698914196,1.84522236667262,0.011129077332292,0.507110281238208,-0.080275320026246,-5.69872292439715,0.678326073558824,-1.21571926959388,-0.000176298737930628,0.118527541196098,-2.45684223164926,-0.710030909714633,4.57216356666984,-12.3532888735229,-20.5201630212247
1.32356746482807,0.635810439390519,3.38821828937532,-0.0915971978603194,0.25962616428387,0.16366208685074,2.79733677496918,0.518118277244766,-0.896134641509803,-0.149100689465396,0.75849598237038,-0.523339468566178,8.6479882508108e-05,1.58121744601388,-1.17974595456479,-0.481478351812221
1.53225304648226,0.569080186375612,3.93150727875997,-0.520447573605071,0.0150692976269537,-0.0172215038137655,-1.16322610650667,0.119872739203064,-0.495136523771784,0.348115799889579,0.459931505428992,-3.59067887261108,-1.33489712670066,2.92332679176468,-4.50448944234672,0.0940414092081311
-0.459953212892979,-0.226778298873358,0.00804798821680539,0.178220118506551,0.26622711193822,-0.122403347271968,-1.0105310245367,-0.174356933781791,-0.769404261320875,-1.06418213275025,1.66886469127726,-0.257780903273603,-0.0951668005197213,-3.72554307888037,-1.07427554223918,-5.88588284468705
-1.11599375091459,-3.9690834392601,-8.85573151029024,0.457500618406553,-0.181549380441808,0.0136731822037707,1.67556069328223,0.151876390005644,1.11141613652677,-0.415887244443205,0.528815385348778,0.620559440979788,0.109845186899251,-5.57228821397472,9.03306171374578,9.0918479472445
-0.243937513854599,0.358452383190949,0.220859608966201,-0.189286871856723,0.045161464500442,-0.0174094942262175,-2.36873511292474,0.743183981217657,-0.851254195376843,-0.228688792653684,-1.01089026211543,-4.22327813274444,-1.34805599452158,0.0658882893510385,-9.19539839531845,-13.9553840793659
