"degree_sd","centralization_degree","bridges_ratio","assortativity","moran_i_degree","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c1","c2","c5","c7","c8","c9","c12","c13","c14","c15","c16"
-0.770338982439028,-0.00759753374910167,-0.263168726672502,0.392472971355665,-1.44281954008797,1.78891022900664,0.867825021744859,0.445354823274801,-0.0239652101650268,2.11830440480557,-2.67392146579996,1.14029226222176,0.402011065864265,-0.29667441850863,-0.357679390806469,1.16247805157554,2.89314147672126,3.56679264235484,-5.83983909261918,1.8016976030217
-0.631053456846003,-0.772319192409632,-0.506860047147377,0.273516491119856,0.937286495185585,0.314510620254279,0.259927238380561,0.9826533090489,0.221701826427525,-5.74042175164924,5.99246255325517,1.58547718106441,0.0253825575606077,-0.432392509373504,-0.10644390395963,1.13543481408756,3.25305516870275,2.2234440808331,9.99098632720654,-13.6798330806779
-0.403817854058135,-0.589985153608964,-0.492567190685602,-0.168134574508397,-2.02901661235675,0.990309378839196,0.157088620813797,1.18969397974134,0.282346833656738,1.45382669083406,-2.27071081763767,0.778732448140152,0.545824506475595,-0.587450323096086,0.0799188666836608,1.26907800779737,2.56943130496792,-2.17205280313766,21.1148376741184,-28.6578023199299
-0.48805422914969,0.288911575019775,-2.95134541949646,-0.306829468834061,-2.31920520811809,-0.501930635657628,0.442063589138332,0.335300370692818,0.175963838968411,-1.466741568656,3.40821757679034,0.149868185473645,0.337019257275711,0.336292461033797,1.34495177395606,-0.086522609422013,1.51880034764541,5.57289710537405,-3.16117740503257,-5.61510672995451
-0.410793923972974,-0.765230058128423,2.01899200041791,1.05817955860884,0.0220536140849536,5.25400464926335,-0.134829746087009,0.0410948729109325,0.220864219958994,-1.48061934661193,1.47244465859277,0.662937738637905,0.272282361581191,-0.192209422149051,-0.187409211327052,1.08301013385554,2.93365249128956,-8.00650220123739,6.29102759017536,-5.18029792110029
-0.358549465355901,-0.642270918851549,1.64596113811985,0.392912038871315,0.308074855035154,3.08234444631394,-0.359031369873548,1.71696055807802,0.152997827627414,-0.0836501619612764,0.0555659663559631,2.01569997208751,0.256098721182185,-0.192907759820416,-0.448656749122141,0.90094737235828,2.62901489973519,-13.1343657987471,20.8576103312227,-15.5931291160702
0.522203814980434,-0.304818991166008,1.29016452210593,0.090058680924969,0.370614748033516,-1.36472729182495,-0.532005634430928,-0.483600643259623,-0.0426855082577333,-4.62843044902644,6.05719284646978,-3.21036376702071,-0.620767129518262,1.03454620532719,1.79764136987381,-1.51670110024233,-1.1335725254622,-0.987032013088387,-0.955525684658278,14.0536868705382
0.0667669009633732,0.425969817111083,-0.170201543294199,-0.582732805714718,0.77404157759469,-4.83265240031786,0.872729066500192,-0.271634325023315,-0.319441127334719,3.81272749034174,-4.58225451336684,0.200543575890594,-0.588383937746781,0.626226057183371,0.753762767465816,-0.182816896945331,-2.4386897531511,9.28984573285245,-14.4684749993455,13.913735661975
-0.639114346694181,2.24967704261637,-4.17823679708503,-1.49773104734564,-1.93415104128064,-1.19474259111342,0.390616017744671,-0.483676123061392,-0.0312606087388059,3.90189607061981,-5.00925630203567,0.628416513376403,0.0382562567541561,0.839856188976714,1.02522966260789,1.09035424449436,3.02169751764602,12.0573596597945,-10.7841992477498,6.40413796280375
-0.458917824748627,0.785286219090004,-0.859265750821498,-0.324824824006175,-1.78355781132506,1.0024632463793,0.989444001726414,-0.0782695160992687,0.0862715565722876,1.20601786266616,-2.44279933396807,-0.878540498688586,0.984897466232239,-1.78135964998264,0.428263455996953,0.511112510820094,1.32804675497499,6.61046886252479,-1.31018637035912,-0.286880929447609
0.355673844911152,0.325911306605029,1.81657383194946,0.290810316168788,0.25277806205608,-1.00582696555294,0.817577804846331,-0.191960435974726,0.102775678656383,-4.10400093215377,4.85015921447329,-1.92595568537627,0.10186775609188,0.371399951285997,2.29790076018241,0.187815567762943,0.0820627648089364,7.38348105213237,-5.35072964465968,0.864075064195004
0.35909662028413,-0.556389969539705,2.86027987948684,0.62845979476481,0.679006680850422,-0.819807867261465,0.485445658129881,-0.269744018422949,0.274440550333119,-3.03574858918417,3.27727438535646,-2.77772528592977,0.754589963191109,-0.296561144221017,1.86613938790659,0.956296214795612,3.05278350356568,-3.05953535024875,-0.316186437396951,0.190324878007359
-0.485814654649522,0.729348808399443,-0.121792517367551,-0.10909147251191,-0.459364369533014,-0.01685849183155,0.856715896903226,-0.154509905807972,0.0570894620274636,1.06442838900408,-2.77308613614386,-1.76167158566077,0.770507499964643,-1.53308827345706,-2.5467432327153,0.737319973770462,2.67566196848286,6.00526530712032,-11.1303051267251,11.6465299408025
0.0797958667494769,0.200600083462942,-2.7397929553123,-0.773433572290391,-1.47605561996017,-1.91046451341393,0.0525966906855841,-0.389554128518183,-0.153959507390973,2.50403649339263,-4.27259008459782,-0.303986326038851,-0.234859058991888,-1.62682427755771,-3.10190252233265,0.881385625791842,2.62181820965071,5.81300079166274,-13.3994861639514,14.1279690215189
0.484927517176461,-0.592992916185716,3.37821869105742,0.451431804392242,0.139244257738892,0.669550130550732,0.490804106055859,-0.303276213249004,0.312066222974726,0.315502361299466,-1.15657023520611,0.0858044563867169,0.526902108777578,-0.549302350380401,2.14451748625705,1.11129813273626,2.68888303147665,-1.32855849441005,7.40081836290488,-24.5701711818056
-0.18275281889123,-0.8731728241698,1.29355579068182,0.500829241492556,-0.0173135245794932,2.16277841942473,-1.11546627052646,-0.297302143563075,0.221604470482009,-4.45188147868866,8.09435477120693,2.5842806789588,0.00840560179785774,-0.0638165370046544,-0.103482149988448,-1.04434614726798,-2.96381018263467,-9.52748437525864,18.7629954076299,-32.2636902074226
0.660630440704258,-0.903165445395439,2.30387517002204,0.452721199567774,0.535400935686437,1.08484453132261,-0.08498080435135,0.612201752841486,-0.107491150241959,-1.98141649695492,5.9653515617727,1.82774035698632,0.0403370239265241,-0.477364954800941,-2.38171892638216,-0.220425190413536,-0.0108587482139142,-3.74833888776104,1.38837040514151,-0.899100586036015
0.757800618761558,-0.787826879908183,2.56821517709183,1.2292011141783,3.0790491312567,0.0590259119378538,-0.336713012127027,-0.064871340263959,0.0566080804102886,0.168802529252658,1.40130253263104,1.06151472772266,-0.088019661695967,-0.28113205347689,-1.15312074881828,-1.55867848907959,-5.74291051826939,-6.22605855339962,7.33761266223416,-0.950471761564784
