Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-5.544747030149803,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c15,-4.541491905768204,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c14,3.186438546104114,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c12,2.483031289735114,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c7,-2.3282694635015275,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c13,-2.0665684973850587,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c2,1.9077882001573387,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c9,1.2475731384341284,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c10,-1.2421127014933255,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c1,-1.184724487069064,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c5,0.6294121683990423,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
c8,-0.3953448929584991,Old_Features,buried_rescue_rate,0.1172463495547818,0.8146164620261355,7.3812286448937305,Distributed
