"degree_sd","bridges_ratio","assortativity","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c1","c5","c11","c15","c16"
-76445.02982213,2046790.405008,3507728.77916966,1682702.29693909,-380596.732248308,798412.453952602,-5991246.86125683,3617242.78841464,761300.037499387,1542436.91390204,-11007925.7174148,-21408552.7765451
-469177.679619317,-2492352.31521209,-2032469.19462807,-581868.07444957,-3462660.94328723,622603.991226341,12148493.5691703,486197.235783254,-150280.620447924,499990.603650005,6001983.19770333,39250309.8856686
179307.618897805,-906107.532874887,-2291128.30995449,-1873591.09471362,7882218.9661349,609971.263299196,8239611.97183573,-6720067.34643522,-6222843.18553485,-670422.874791359,13672951.3795156,51809818.5392097
-640776.971354124,-1723870.38806749,-2074160.65805079,-960217.690015064,547268.934870342,-1255389.06847964,-4246567.49116695,-2915168.59199992,-4485834.75500436,944741.828926879,1125416.10978756,79235.1978184469
-735038.924213579,-1914679.8231001,-5635816.09851154,-63540.0245882938,2196843.20509006,126280.298477397,1845484.51555163,83565.145094172,-2729684.50549798,-3305161.63224454,5341532.22927821,-805095.26088609
220281.169822676,-37984.4179445982,767024.586509255,-979746.865262681,-6781873.1243771,937867.657731949,1368423.6872429,798133.755821593,-3760387.92182499,4744540.50446809,1028476.48303712,14904940.2240506
541227.749587636,4491030.09584881,7268526.00999411,670407.390942102,-9555325.74394849,-104194.236866021,-2267121.15025529,-3460117.77263452,5476112.66663957,4149758.80251203,-9795585.05217058,-22790253.2125845
115919.133139855,-153604.9939805,-321712.83201989,-163075.908483047,3598399.14492049,134994.738316221,3366787.01913126,-6668191.97773505,-4129017.96189009,-2481659.31360491,9989821.82151666,36219027.5597558
522156.576642607,1770854.768467,5395271.120696,-2066150.68849244,-1034052.2348062,854269.976363185,6732624.74048326,2391682.98524288,-623874.28906664,1060806.05113409,2514225.91267612,11346413.7766182
139125.285110458,-191638.483988268,-250197.630823785,-1714727.75492183,-4511929.65897364,-368028.781544776,2417829.22634251,2939951.79618051,-2401610.32088959,4753332.15835141,3964956.83242901,3566236.09302984
300017.921554745,-1296833.02037485,-3325818.3780574,-1773520.58922951,-1896766.63344738,-749515.290879863,3723376.2335499,417349.398830831,5390305.65947625,572448.500597529,-4546204.73112365,-16826481.1031198
380031.965348773,-521686.137090451,-1516555.28229391,-3270364.42411686,880040.955589118,195397.299822643,7017954.7448911,3644968.98525422,-940918.815242898,3005901.74823907,8900503.34111979,10938023.9720271
296444.028141785,2942268.45851294,4101484.79315478,1985575.44004225,-7927971.37730362,397324.156771083,-17935144.3509339,7029913.04326365,-5009699.91951186,2838327.75872127,-14799996.5354352,-19119185.408708
-137005.767927605,-473722.056728358,-923924.179907,-67931.2577246762,4888982.60232551,717091.528678588,-1217467.75890181,-628695.033767542,-5265606.01420709,-2513604.49948691,-515560.484404363,-884399.118535979
-93050.7748675306,-1198527.47326826,-1634095.70194429,401502.614274874,-4256119.68523085,-385767.474394584,-7230016.0088563,-3576705.82629435,6253416.6433958,-2906434.43716553,-11959516.9893022,-27696675.5955752
-645798.498345828,-1742982.36214806,-1268609.87715925,-2047685.52425146,1593142.78481076,93490.1181685194,-8391047.92686558,-456877.455952275,-2434363.75664752,-4977622.50204574,-2554165.13927616,-25356117.4437255
658942.968027306,-423601.742824963,-2534489.60319312,-1433694.3548747,-4744113.32543952,-2371681.87365469,-2946402.2261745,115293.520595952,13985155.7248301,-4841045.53779778,-5506753.04522909,-26234640.7200922
78187.2280771357,-1733913.76958551,-4470417.32245895,-2252202.35759417,-10312088.5581753,396246.064916104,-8757900.3318449,4772244.33677587,13100533.5266209,1054244.75874326,-9916259.52425625,-27431625.0855771
-145999.093789186,-846475.662763878,-1710582.42411414,1043986.25711303,-6843028.21442883,-2957034.50130991,-1152797.87578421,770344.001951065,13016813.6639188,1076549.38714082,-6887266.52599976,-22355304.9051644
-1524.87630113428,-463779.323952864,509942.227561982,-1005474.29970354,9699234.41470791,1031831.23575111,1944302.88611004,3831797.36323164,-6768193.10807674,-928852.85351518,12727709.7478641,38474130.7925893
-101014.050003728,587974.963438496,800488.190242536,1725506.30305301,2061707.13223147,205967.475233426,1549533.99825734,-4493672.16482217,-2423556.28312597,-1470279.34569475,3994720.41139353,11586875.6806351
-351472.814130805,-2005120.00426515,-3748251.04321523,-1163171.67034379,1087009.40579825,-1070408.92711187,10855166.6350349,-594038.704701451,868053.650026351,-247962.556585442,9199927.4150585,19370204.4364312
-466215.622168709,-1597668.41763342,-248155.799396398,-652766.07488217,1797637.43784988,352788.307942379,-7138386.64970257,4957633.31057066,-1405878.41686285,-5080555.45316961,-3504688.44434662,-23957844.8280501
-49621.9472145956,-67230.9156964468,2063130.66665651,1205887.12223998,-2819473.03072657,349300.265704445,-2368924.22861751,-6089759.55847936,-1888487.2053904,6516.05912180552,-5115239.96191028,-3178351.93520442
-532106.537620163,-2094408.18402787,-2031502.78268996,-18100.104139905,2663842.72832666,434450.913689934,-8007433.6723317,-4166846.09457586,-3140572.53235397,-3491609.12139003,-1000744.99188642,-15435065.1806686
56530.0917050299,-868012.291562115,-2046080.6199234,2043196.00980802,-2291058.67935056,430103.138973639,3391318.75779434,4283245.29955535,4836858.25263283,-850583.931487611,-4889943.27890638,-16264804.7995411
