"centralization_degree","bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c1","c5","c7","c10","c11","c12","c13","c14","c15","c16"
0.0104294517424623,-0.0458792266491634,0.0580353927590458,0.0325892618122517,-0.349591512647266,-0.219543301584617,0.642816340756588,0.000215606359428505,-0.831912224657361,-0.102768072511148,-0.24566211342341,-0.480439127166274,0.0204616826970024,0.796972446872172,-0.521951752618429,-0.3616872101822,0.10779638313249
0.23675695842499,-0.128540950471937,-0.0375948392031218,0.00583188470020517,-0.104033934188231,-0.491033227420343,-2.8409835557979,-0.000584794371489371,-1.37298327052339,-0.00630667078746449,-0.676620736654826,-0.523162785258577,0.0200166890335437,0.882417092021125,-0.373672582312016,0.659390445250629,-0.674181371731186
0.178519485792558,-0.151892727457048,0.0813991485646494,0.0179264730794882,-0.0647987478044061,-0.595957974541991,-3.86886465635968,0.000147052440854327,-0.751374201330152,-0.140485012248668,-0.559681390471324,-0.900155092527926,0.0223002833203225,0.678132336518214,0.386531107105927,1.34968452553936,-1.48953881892932
-0.0887518851884026,-0.85362112759329,0.0926319124448399,-0.00900362780693063,-0.181827912418919,-0.168484701397575,-2.41041049106205,-0.000147796329253476,-0.178101789764989,-0.0868619497587491,-0.092353110140939,-0.412584072887088,-0.00148886641909137,0.407105705447906,-1.02216793065146,-0.192761596036782,-0.269773859142628
0.228721549730465,0.59264257328119,-0.00150925520639528,0.0960071574817691,0.0534133118051473,-0.0215729833954902,-3.01676213994114,-0.000145258467455125,-0.659041422229178,-0.0704266704561598,-0.374423076816138,-0.380303138269414,0.0191580159113527,0.788786164658887,1.36103969097349,0.430913229406263,-0.22117717853363
0.193086877489214,0.468305694670929,-0.0125385848233469,0.0562077258127597,0.144026819705227,-0.860443498122173,-2.18090896368192,-7.20226263828192e-06,-1.96271829594056,-0.0662850258500115,-0.271398636100325,-0.287655157939327,0.0158800538816975,0.693952328761593,2.29152910316996,1.34644123870305,-0.7925157436409
0.096401077900145,0.381086015023351,-0.0144830009129602,-0.0249642942003135,0.22017105792934,0.243754909679809,0.732863126885657,-0.000474729221381958,3.10359155072077,0.160097005329565,0.541493701780958,0.497009155027414,-0.0267342849905826,-0.29624871990516,0.23601168532507,-0.0667024954295278,0.708953186444754
-0.127332700359954,-0.0685192896156935,-0.0299027813039856,-0.0885512791722565,-0.354963345874262,0.137431819856861,4.32538748579719,0.000383765304659817,-0.141628414988025,0.151808284093732,0.312832438844215,0.340022597625732,-0.00335253135779736,-0.66133004478086,-1.5583981100058,-0.983561460960742,0.646149767786771
-0.681817495788887,-1.20199173668117,0.0774232758341116,-0.0217148890484399,-0.158966325376069,0.242815878568464,0.499103833967823,0.000399092845836896,-0.541099433302219,-0.00974181981865792,0.511445642328098,0.450305163995982,0.0192067250435027,0.812295733820159,-2.13462258238833,-0.687356637785778,0.339800937713807
-0.245264395904199,-0.218879836712955,0.069313433111716,0.0191988516968081,-0.410927220122319,0.0372137143815267,-1.29826699281435,0.000140206450003984,0.638323792930014,-0.254335397773089,-0.386437669916204,-0.321753865441289,0.00934739404155309,0.382999299275921,-1.40216715351935,0.0152210641665446,0.149174760385426
-0.0950228161689285,0.539268787208122,-0.00986332955913728,-0.0183672968294616,-0.329335780358022,0.0977829306972248,-1.16621532041651,-0.000420714937347655,1.98394462298683,-0.025730050896777,-0.152012902655516,0.0774135165670921,0.0032838464335043,0.0372939971099308,-1.25017353994501,-0.342330124034051,0.0438999962900403
0.166401456180739,0.824554630292315,-0.0275369813604779,-0.0148455706278404,-0.20016764394477,0.13390543763444,-3.80452240312655,-0.000308365940657525,2.5081917349081,-0.194512562939557,-0.379392969455713,-0.139702713688311,0.016855370959868,0.809981573853865,0.496545661863784,-0.0155929734338298,0.0210546517998352
-0.21886982373833,-0.0410362528115728,0.0189208070632957,-0.000626309941756564,-0.348742135700263,0.0785698317134026,-0.726180050653275,0.000105093464567103,1.69355633685859,-0.198034150350795,-0.348651970169238,-0.60551278180192,0.0129057301080101,0.70769519573921,-1.0027079710731,-0.739757604692003,0.542566846512828
-0.058696117079302,-0.796355510812113,0.0594899775023787,-0.0349588518504828,-0.019458124916328,0.196025699660373,2.13453441373623,0.000252821687505357,0.340950705634008,0.0607310675010935,-0.23087651967863,-0.141629364255871,0.0154508182668783,0.696015750095811,-0.993979251240935,-0.878102543877909,0.697353189895338
0.175845371504662,0.963191725879675,-0.00560107152885163,0.0121469710663559,-0.20237961310129,0.15073343786926,-4.32474673181252,3.17785079425383e-05,-0.161645821722148,-0.135822436710202,-0.290754531657422,-0.0460154665458011,0.0195453987467463,0.705926512827084,0.207010483182892,0.467494198676625,-1.27197448081681
0.270441405867292,0.340098232572759,0.00245579744829814,0.038648790859676,0.458616918994027,0.149941669264332,-3.05219167401904,-0.000463432627156167,-2.38498527019191,-0.00142550767507799,-0.257892831732609,0.0534614599177923,-0.0186098837691257,-0.820883470998242,1.81694505655438,1.11910888692038,-1.76955696740526
0.266663867585314,0.643049790701245,-0.0217669096775377,0.0198038564179883,0.029918427587597,-0.309395653131465,1.16174830590417,-0.000201129181958666,-1.91503369553173,-0.0110370703917322,-0.177339951243474,-0.0943945543523008,-0.00386710017083173,-0.0294699839581148,0.568042991339487,0.0822618522415614,-0.0532994740596535
