"degree_sd","centralization_degree","bridges_ratio","assortativity","rosval_mean","orientation_entropy","d_value","c5","c7","c9","c10","c11","c12","c14","c15","c16"
21.4801807404815,0.464561015427386,299.532290317853,219.753253374559,-2047.67048876049,1267.06538803366,-952.971283763447,2089.06761040675,927.676319130218,45.8648993670932,492.128802844276,5517.5987896299,-1273.82223160376,-2812.61656107762,6265.10364715054,-972.582035892076
17.580433383312,637.171620647393,711.466265974914,154.236311981711,-617.230415496258,2824.44928949623,6835.41986570334,3061.93058425135,57.7615496014437,13.0696204906298,1332.19289032449,6035.09422045553,-1242.18255785428,-1749.42055981184,-12337.2751691352,6011.96768641174
11.269230328091,495.599929534011,834.886040765209,-94.4609035257026,-348.92161455395,3430.41720874324,8949.23051742194,1572.85052813615,1272.49728309403,-9.53875196149359,1098.62743453299,10440.5399812573,-1375.8690716246,1829.88029861457,-24657.8990179949,13364.2251266209
13.590222406802,-239.478823872721,4460.94324196602,-171.34240615113,-1026.32682445243,973.04395606742,5598.92033991372,389.518543603223,786.764353307292,-173.046659605662,181.5308985621,4799.14992153574,95.5985931730419,-4115.42655030419,3959.27645947227,2488.82302297292
11.423671637745,634.665161482697,-2991.82489956872,598.714108670477,325.965880104475,133.461772049873,7058.48052988249,1420.70137261334,641.906262762528,22.5985827589615,736.138566645165,4453.66721158781,-1180.15119901869,5881.27338091035,-7370.59516881034,2149.27066178945
9.9848283383479,533.957682692938,-2427.91003624246,222.346838430688,850.704479641743,4943.90812940794,4877.90343360213,3998.7132542348,600.534769932592,57.1543081648844,530.056337018391,3340.67354383568,-980.468826947353,9747.92780133444,-24740.3853518449,7086.54603817113
-14.5427070354908,254.256990608422,-1937.96683225571,49.6477401214093,1241.48804579881,-1396.11443296511,-1394.46042130239,-6302.17870434004,-1445.36156764801,-229.679461100591,-1059.05474646993,-5728.32470490853,1655.30870400902,777.410410287173,1185.78217580397,-6263.64993637672
-1.81458112414561,-350.782578878596,280.891618000492,-331.552104412864,-2041.68472163293,-799.628900679547,-10103.6252653236,235.440379406449,-1375.07041272205,-94.5691269338712,-615.264838143603,-3969.51189539038,203.18015169802,-6632.44402533128,17730.8881256839,-5863.93105440036
17.8112342818041,-1866.23864389972,6315.85076729887,-843.147107330768,-905.10722640125,-1383.44472624283,-860.07415713454,1286.30253309886,92.4325618849124,-131.541769754022,-1000.95011887495,-5143.93581096308,-1187.25013982259,-8861.35109533665,13187.7233318308,-2871.13729549469
12.641200735894,-657.443713949828,1315.2109518795,-175.499220545994,-2294.61617102263,-202.060935444652,3168.60677905939,-1248.97496064306,2306.48681009503,-60.5453291928863,759.938747342645,3816.58328938584,-561.869370434763,-5244.95175536646,1346.18298326067,-890.648427850212
-9.90405278905318,-273.298832699809,-2787.05121072454,162.382398405706,-1933.64953074826,-561.930966505251,2989.21950935673,-3904.92174487907,230.245963705192,-294.194834704223,303.152059835359,-926.321280506787,-210.37354585634,-5548.19376876926,5802.86035310131,-469.309020577722
-10.0250933543275,461.519210810717,-4284.58848610768,355.013278660034,-1131.49452712612,-770.488853280162,8612.91904554263,-5340.30727013201,1757.36285665488,-239.725418517905,742.459131720599,1620.29392290742,-1043.05227045593,2241.14772719904,418.160186753926,-174.234895076736
13.5722055713053,-605.358241663757,144.195012830073,-63.7543418924898,-2013.77036350219,-463.114155553388,1571.91459207743,-3589.15023325014,1784.89629861593,327.803279840735,683.251192069275,6911.15636066635,-805.763466788056,-4414.58460564623,13148.8158463487,-5059.40480119432
