Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c14,40402524.60413973,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
c15,38690237.0035202,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
c5,38015459.603381455,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
c1,-14370797.057179179,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
c10,-13207450.543559358,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
c13,-6769917.027873944,Old_Features,dist_per_transport,6765675.81017471,0.3622120206416207,127242430.54325242,Concentration
