Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c14,63937945.697740905,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
c13,-23156470.608161733,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
c10,-20697376.519364733,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
c5,20001161.540724214,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
c1,-18213315.486903466,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
c15,13605148.215095792,Old_Features,dist_per_transport,6594071.394853801,0.4254699574990519,124923180.5190358,Distributed
