Map,c1,c2,c5,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
america03,-0.354664426690003,-0.055288492427709,-0.682442207016659,0.615557960817961,0.097500367061499,0.130322706920159,0.826863712119634,0.946504886479084,0.067466337642973,-0.883772067430022,-0.352153310301817,-0.404030378137923,-0.04892496326938
america04,1.03786847359352,-0.051039399091739,-0.672486101138171,0.148818884048711,0.405503137322221,-0.073205692573841,1.92672897215201,1.12708432979839,0.068220155828638,-0.885831341868086,-0.270689488090192,1.16792260646538,1.07030887970291
america20,-0.161206637614898,-0.054741317539501,-0.663975051572511,0.904630879999307,0.474584911774916,-0.150589329240894,1.72271188809095,1.81483718491977,0.064956076994958,-0.862536965766556,0.437304834372526,2.25682216351444,1.99580684885086
america35,0.277746733167507,-0.052390835583695,-0.2294651369942,0.652235420171613,-0.399521447219246,-0.564898599069038,0.341582724433781,0.854212259554045,-0.051475904335982,-0.458324738775771,-0.773072659828628,-0.176280816340256,0.521562016514666
america52,0.409430818476055,-0.052972645295992,-0.450304488663709,0.571862214798725,0.060238492839906,0.029027266098576,1.18226490233499,0.660316952220337,0.048998602146864,-0.794280810189466,1.30953360839544,0.801520842881309,0.393560830419905
argentina10,0.047263502289075,-0.053914900002897,-0.99311894413238,0.543134056452979,0.008370706860532,0.074116985780503,0.743595948960109,0.449133546753922,0.043456585990174,-0.640669741979234,1.98889428159189,2.3243289472402,1.17040076729186
argeria01,0.885197892806667,-0.050960655411429,0.998382123985321,-0.869610940714021,-1.08380320862136,-0.76676233969208,-1.40447999748949,-1.10917771196591,-0.226165010986743,0.466505385256052,0.271825966291993,-0.048662487923504,-0.803636875041651
argeria07,-0.657540187474136,-0.056142558220979,-0.29024178083221,-0.823921186162034,-0.741377663168205,-0.415609910856808,-0.830042144652755,-0.880042103830233,-0.075405041344944,0.716134217181524,-1.29187691708405,-1.44647953935823,-0.840922065756304
austria08,-0.645623934152626,-0.056121793571622,-0.443498629522548,0.229199767806801,-0.919565321278117,-0.475689713010104,-1.49010999888665,-0.946300039443621,0.069304852529849,-0.857173005315686,-1.43386891254343,-0.941415189499643,-0.397513911846658
austria13,-0.236129390781091,-0.05494724316878,0.120662186308352,1.55508682208981,1.57700129311025,-0.174508301508224,1.23223335544278,0.492097801127961,0.002958864508465,-0.257608851066508,-0.945523280956433,0.007342733467956,0.151083534732685
austria20,0.791957231508595,-0.051865515195818,0.652980628445846,0.256340681673668,-0.474476490017568,-0.842337530071561,0.54805798073499,-0.272583602024348,-0.048615089322125,0.057514500931198,-0.764593439350604,-0.290836168210048,0.058028594743936
austria22,0.612371585763587,-0.05246588444285,0.977688420233599,1.33357526041198,0.189247741059964,-0.820546489009876,1.03016914866203,0.150643945072027,0.054462144251479,-0.795930965488293,0.502006429606877,0.057980722503226,0.105462621278883
austria32,-0.246961040583215,-0.054989101381072,0.489984839500586,1.21084889937821,1.34476213420419,0.898786348946707,1.1647713395278,1.21274697886136,0.038894966096403,-0.669401841258572,-0.772953311238297,-1.06284352450201,-0.608935540052068
austria37,-0.430392860467158,-0.055498164896146,-0.092443926307181,-0.326470924398788,1.49282775467204,1.09176556801445,0.801315752043196,0.251671078674771,0.040858530709518,-0.694810924119872,-0.780194653036602,-1.25926901965598,-0.771299672798842
belgium04,-0.024481750770556,-0.05435583766536,-0.150923495356356,1.12228720233007,0.471451537123712,-0.871969165451355,0.814616508803675,-0.040654447665609,0.056175657585904,-0.712586342248216,0.362415896040439,0.998785611074573,1.76830856820645
belize01,0.803166985978457,-0.049973625188846,-1.11616367885309,0.154278471575622,-0.046641732383667,-0.004249361409588,0.878247480230374,-0.124222483187327,-0.165552891229534,0.995468758458893,1.5313474723737,1.97400082325681,2.19237014465912
belize04,0.446040282950701,-0.051337433408441,-0.928725716795783,0.182913639886602,0.329722731126528,0.867949686325748,0.552991000066401,0.167923167225694,-0.07123229701747,0.171173466246631,0.669633487354244,0.241088530901801,0.065145997441238
bolivia01,0.080952089367784,-0.053308345275695,-0.537201007270549,0.016217239307773,0.120594163050229,0.272678001626184,-0.319241333787104,-0.84782114631379,-0.200369614131253,1.95212066647657,1.1443718226676,0.91960253471454,0.14260414217728
bulgaria05,-0.116896039935975,-0.054602609069955,-0.775048165154238,0.486239024015762,0.870168984874986,0.722802097801393,1.77300877347732,0.910007689357348,-0.073946894114644,0.07533478711513,-1.02087865027819,0.305360965829876,0.713277892722458
bulgaria06,0.463592257927951,-0.052790354088496,0.586234448854246,0.220523323101772,0.337657199275509,-0.218294337211882,1.6854706657029,0.786399515670544,-0.035221866417666,-0.1215456571186,-1.70954844205266,-1.30920750699196,-0.742950744655288
burundi03,0.830240971989543,-0.049811858015125,-0.959661387047835,0.148825240209521,-0.659537148769351,-0.535755644239266,0.64078958474027,-0.54564142502207,-0.25421203913567,1.75943944005109,0.218080719179823,1.6024429355749,1.61543526352152
canada33,-0.367054195917056,-0.055325113994228,-0.369120646660429,-0.702592130423929,0.420604882444512,-0.717514289204242,1.08201665224457,0.147610504454803,0.071003913728117,-0.902179229563289,-0.623548319383688,0.389405982124502,0.589431637713809
canada34,-0.307875902674628,-0.055114832539012,-0.582594784514755,-0.33937267528007,1.42281127549033,0.463622402748641,1.52526960183503,0.953511493680778,0.060862726210542,-0.859627889464534,0.012114219862857,0.737653660989346,0.255683781155735
chile01,-0.105298522761516,-0.054499363375627,0.668208994963842,0.053417599923639,0.664474030712489,0.766683338365575,0.167380023972311,-0.09095463187136,-0.036099809602308,-0.048317996225122,1.14223401259758,-0.489273287061335,-0.582534774616939
chile03,-0.432271276873579,-0.055510989881826,-0.351285722618041,-0.23600525927517,0.159287832406888,0.176869828703626,0.339756664859104,0.41050056107125,0.048846093361927,-0.759277065684662,1.0235325076855,1.21762173457535,0.643980193549734
chile21,-0.881985680165079,-0.056794584672744,-0.889241287629393,-0.889472840934033,-0.645127575477863,-0.689037665552015,-1.21603395167724,0.585705267911593,0.070203163801166,-0.878159733107187,-1.79372516912102,-1.63102640560953,-0.7753569084099
chile23,0.047392495388165,-0.053177093695719,-1.00798224130946,-0.553830387679101,-0.44152613063308,-0.116381004306833,-0.207328050182306,-0.383998106183039,-0.018811497229126,-0.03939853421178,0.442552483736038,0.038237424103155,0.027823452574359
chile39,0.4487360294144,-0.052744981987958,0.773145326688534,-0.610312897101738,-0.789315196355351,-0.609022048404725,-0.598665351904345,-0.581582372961636,0.029281077333589,-0.581748022234472,-0.070361192253631,-1.46424862401816,-1.04529352873842
chile47,0.081748488695029,-0.052644877331977,-0.569083369624402,-1.02909355715358,-1.00986309562373,-0.678561971404937,-1.29498181027709,-1.07638358703469,0.031459865671769,-0.238501898757023,1.67448841073185,-0.279371951333006,-0.926896957199978
china10,0.001021330129654,-0.054082541624658,2.01111888671664,-0.796755376816573,-0.92902446758806,-0.424996518584797,-1.36975623853751,-0.898351932300841,-0.045046096596939,-0.347267314217892,-0.342985154203711,-0.749431417261283,-0.936396405450797
china19,-0.665591931337201,-0.056175693155118,1.95517716338575,-0.6900201700699,0.446631438619705,0.79905365172359,-0.903759506823962,0.058702118937014,0.048847993084753,-0.651977298453911,-0.471716473071573,-1.16222075374603,-1.09503029508831
china41,-0.023458178269842,-0.054312341974373,2.0155048853616,-0.326929360349639,0.08420303695861,0.242866700500108,-0.204342480890924,0.177632647396764,-0.02225342844883,-0.307912794118265,-0.757884138124395,-0.708614186984302,-0.851530644988617
congo10,-0.479520294890312,-0.055615821812486,-1.38497904209183,-0.037183299067051,-0.266222468152716,0.37771239174467,0.090401048671809,-0.292807796038062,-0.125518238182675,0.85599153321991,1.64306343934925,1.74824514767677,1.80556789835418
croatia07,0.531253070388259,-0.052245239661995,-0.687607479593452,-0.259895030218129,0.353238793755635,0.788640364740359,0.848440632478993,-0.359699546146462,-0.270935587161988,1.63212665758057,0.118532824362038,0.688063021755186,0.557582912846268
cuba02,0.070624592079764,-0.054003276379839,-0.122283537604816,-0.128922687549909,-0.529889033593084,-0.560415564795522,0.222869614223366,-0.266717966674569,-0.012206933840769,-0.34928177852338,0.66480890373521,1.37394607763265,0.986598224563429
ecuador01,-0.649128315450327,-0.05595192426658,-0.391329374559772,-0.620169563834491,-0.740372025259625,-0.195651889235807,-1.38439116718746,-1.02113058286979,-0.001403728525299,0.000709711298711,0.800217325784682,-0.513163156714873,-0.870796767348492
ejypt04,0.682223089161996,-0.051219521022572,-0.532728463434069,0.086375646186813,-0.500821671461262,0.022245395319288,-0.264553147295492,-0.178966614776473,-0.021336934714617,-0.048358814125543,-0.571467134294,-0.584303414781429,-0.026113069844317
eritrea02,0.570789688487748,-0.050394423135247,-0.672983843459734,-0.690068560458838,-0.808056683813535,-0.277613970729125,-0.854440469220094,-0.859926561811385,-0.162385444823931,0.704580706234503,-0.343985414647018,-0.004799248633255,-0.532408375725362
germany08,-0.541042025558414,-0.05582369491006,0.567516157181467,-0.016566133828654,-0.298462486987082,-0.787895886266257,-0.381752471023103,-0.378606295958696,0.059661643733993,-0.793210352842205,-0.29139096786585,-0.423118615287835,-0.472110153842888
germany17,0.561848872995163,-0.05159022850946,-0.804584821703964,1.17830273082364,0.146692112374354,-0.826140327571264,1.28526344089516,0.63041501652821,0.01387547929703,-0.351422514993253,0.18166922007951,1.03943378704507,1.38918403688221
greece06,0.483569449683219,-0.052643862050983,-0.304123981432677,-0.199068173190377,-0.125841502948422,-0.429130346363679,0.962059141702232,-0.279229288354825,-0.012975050215924,-0.278848622215799,2.42915291698031,1.73664909295064,1.03120770251079
greece22,1.0778595426936,-0.050685281511305,0.581019098080086,0.186430369859816,-0.088469936955834,-0.207902370726658,0.559650999927628,-0.299818417117416,-0.159503521313234,0.50279857173533,1.06671716371752,0.131077069830669,-0.150160462595723
hukuoka01,-0.157073601840648,-0.054489812988707,0.168237365476955,0.082041935478338,-0.756204367603021,-0.186343387548883,-0.935627276313407,-0.699792884474023,-0.011983348821859,-0.074059873519383,2.2067614827329,0.340260134381194,-0.694258170529941
hungary01,-0.294214570667322,-0.055115951372279,1.09178318389648,0.037887701279013,-0.311589862520867,-0.556813473509924,-0.107285647197462,-0.143699743877762,-0.086323732842639,0.437332536417752,0.072349557286063,-0.062895299631367,-0.285980160091114
ibaragi,0.272900156846004,-0.053192054405324,-0.84173279478174,1.68813927731286,-0.631949530032844,-0.467850861850477,0.142077658005682,-0.405551702551837,-0.193987212540573,1.54042329380912,0.218813929071123,0.18841137670074,0.566297923900333
iceland06,-0.864319435362265,-0.056744737097355,1.39229481212983,-1.04695159263386,-0.605892126753628,-0.334435749823647,-1.518453922025,0.353600497668116,0.071003913728117,-0.902179229563289,-1.32621090629926,-1.39199903172145,-1.04107337155573
iceland07,-0.901533732152579,-0.056848925546052,0.895706450193909,-1.23312576800457,-1.23925473048479,-0.959157827024647,-1.76568308114393,-1.12958448834804,0.071003913728117,-0.902179229563289,-1.25667216370711,-1.15891655152831,-0.862058769123827
india06,-0.413952929196369,-0.055219888871851,-0.513601996620896,-0.663965056015309,-0.083590669236881,1.03000692206477,-0.952704784737109,-0.380953400275775,-0.108947657639528,1.10566808925098,-0.162469746423741,-0.056280445203315,-0.655932810345598
india10,0.370758211942027,-0.052103005794687,-0.576430238697511,-0.531412648326745,-0.719920776874467,-0.543810415706346,-0.169307669082654,-0.527049444957989,-0.143981392979975,1.20107139675233,0.592276851474706,0.978450525851914,1.29363211548694
india13,-0.051870433297796,-0.054064045083667,-0.086615670849044,-0.837439940273282,-0.663742972448174,-0.201314449664874,-1.00897973188385,-0.823597995471901,-0.115873840750982,0.249952923005022,1.08089968021108,1.31261729033502,-0.170093212903025
indonesia43,0.462781598793344,-0.051614744243152,-0.797041512192948,0.033384882606537,0.978967566852739,0.534510672254927,0.558734031178983,0.756273144072378,-0.117800093718663,0.352065515270659,-1.09151103468038,-1.16253602938513,-0.283782011902403
indonesia63,-0.28818845501521,-0.054950084325882,-1.15315415920787,-0.782033784730352,-0.893338537753062,-0.725125092765803,-0.650664731419457,-0.906432776536869,-0.110407495141405,1.56046026244183,-0.177904571883818,-0.323760155522334,0.908039569034869
indonesia79,-0.418844521537965,-0.055431343763808,-1.22372505129513,0.077978039638533,-0.193955053929178,-0.288882636671888,0.693387262610123,0.289841365796722,-0.152885193836073,0.527124525476768,-1.27877641795217,-1.72578144114452,-0.411182658165215
indonesia80,0.611616091063036,-0.05145026496902,-1.26824191027016,-0.131489229552666,-0.465040868119081,-0.315676884606943,0.680761934325519,-0.235432152000776,-0.279037056734208,1.41862877869127,-0.19928321296772,-0.612791226171755,0.484641747133303
ishikawa,0.453748957197999,-0.0504585784888,-0.4392440811603,0.164523497053693,-0.479254175727834,-0.046111478392824,-0.076876646372239,-0.746263812604431,-0.263793859865059,1.92095712404545,2.07388560062888,1.22297993694188,0.578213898460572
